golden_id,record_id,asin,category,q_bucket,question_type,pipeline,k,question,gold_answer,evidence_doc_id,is_answerable,retrieved_doc_ids,retrieved_context,retrieval_ms
G_001,REC_001,B003HV3WN6,Automotive,medium,descriptive,dense,5,Does this work on 12 and 24 volts system,[UNANSWERABLE],,0,"[""KB_00006"", ""KB_00003"", ""KB_00008"", ""KB_00010"", ""KB_00004""]","[""When people say it is just a test light they are comparing apples to oranges. I am just a shade tree mechanic and I can say if you can get one get it. You can check out the electrical section at Realfixesrealfast.com and see it at work. just go to the video section. Hope this helps."", ""Love this power probe 3. Takes the place of a light tester, multimeter, work light!!! It is the best thing since sliced bread, lol. Love this tool!! !"", ""To find a break in a circuit, just test along the way till you lose the voltage. For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes! Power Probe's website has videos on how to use it cleverly, and I recommend you take the tutorial."", ""If you work on cars, you simply MUST HAVE this tool. I installed auto security for 15 years, and do not remember what I did before I owned this tool. Do not waste your time with anything else. It's nice to be able to hit a wire such as a trunk release, and be able to probe either polarity, and PULSE either polarity. The sharp probe is fine, but can be dangerous! If you work under dash's, these can easily stab your eye or back."", ""Good tool. Well designed. 20 foot leads allow you to work on trailers connections  very easily. The various tools work in manyapplications. Good video instructions on you tube.""]",110.64654099754989
G_002,REC_002,B0000E2PBX,Health_and_Personal_Care,long,descriptive,dense,5,"The ball completely blocks air from passing by to get to my lungs, is this supposed to happen? Are you supposed to get NO air when inhaling? The instructions state ""inhale...until you feel your lungs are full"" but that doesn't happen with the ball completely blocking all air from passing into your mouth. thanks.",[UNANSWERABLE],,0,"[""KB_00014"", ""KB_00012"", ""KB_00011"", ""KB_00019"", ""KB_00013""]","[""I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active. I can feel them working differently than they usually do, and it's quite a workout!It's analogous to the benefit that a really bulked-up football player gets when he stretches. Most of the time he's contracting his muscles, but it's important that he lengthen them, too."", ""After just my first session using this i felt it was easier to inhale and take in a full breath..."", ""In closing I can truthfully say that one can get just as much effectiveness by inhaling deeply, exhaling through pursed lips with teeth inhibiting the flow of air. You can make this as easy or difficult as you wish and do it anywhere and at anytime. Approximately the same idea as the Ultrabreathe. I do both."", ""I had heard about this method of exercising the lungs and have to say I am very impressed with the simplicity and yet the exceptional results in ony a few days. Amazing.Since we receive about 90% of our energy from oxygen this is much more valuable to humans than most would believe.Thanks"", ""I chose this rating because I feel that the apparatus does help with lung exercises. However, I would have preferred an apparatus with a ball or several balls in the them, something visual where I can see what my efforts are accomplishing. Difficult to assess with the Ultrabreathe.""]",27.146417000039946
G_003,REC_003,B004XMVZVY,Toys_and_Games,medium,descriptive,dense,5,How many are in the pack??,There is only 1 in a pack.,KB_00030,1,"[""KB_00025"", ""KB_00030"", ""KB_00029"", ""KB_00027"", ""KB_00026""]","[""Who doesn't like to easily throw _anything_ 70+ yards! I've had a few of these over the years, and they keep getting better. Surprisingly durable. Anyone can pick it up and throw it much, much farther than they think. Easily. The whistling effect only makes it better, and quite frankly, makes it easier to hone in on to catch! Just as a heads up--the Nerf website says the MSRP is NINE BUCKS!"", ""This made playing football on a 1/4 mile street WAY more fun. Not everyone can throw a football. I've never met anyone who can't throw one of these. When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2. Gotta bring these back!"", ""This toy is great and I highly recommend it."", ""Was a great overall toy to play with, very fun but I wish the black part on the back was a little more durable, mine ripped and I had to glue it back with super glue, great overall toy though."", ""We bought this to replace a previous Nerf Howler that had finally worn out. We bring this on vacation with us to the beach everytime we go. Not sure if it is meant for the water, but it seems to work great in the ocean or a lake. It is much smaller than a football and small children can throw it easily and far. Also works well in the wind and much easier to control than a frisbee on a crowded beach.""]",27.379000006476417
G_004,REC_004,B0010WP46M,Electronics,long,descriptive,dense,5,"Does the power adaptor work with international voltages? Basically want to know if the power adaptor will work overseas as well (220 V), and what the power output of that adaptor is (for eg. 5V DC at 500 ma?).",Yes. It supports 100V-240V,KB_00032,1,"[""KB_00036"", ""KB_00032"", ""KB_00035"", ""KB_00031"", ""KB_00038""]","[""I bought this as a Christmas gift and it never worked at all. Would not even power on. Very sad and embarrassing. I wish I had spent the money on a more reliable name brand."", ""I spent a great deal of time on Amazon's website to look for digital photo frames. My requirements, were crisp picture, 7 inch screen, international power supply (110-220V), MP3 music playing during picture slideshow and below $70 USD. The Axion-9702 does it all. It came in a nice box (good gift), quality of product was great, and most important good decent pictures. The product is made in China but show me one that is not."", ""Most users in the reviews seem to be pretty much in the know of what they are doing and I trust their opinions on the CONS of this device. I'd strongly recommend taking the time and purchase one at WalMart."", ""I got this frame for free, so I can't complain about the price. Now that I have it, I know that I wouldn't buy it.The remote is cheaply constructed and the battery doesn't sit well in it. To make it work I have to not only squeeze the right button, but squeeze the battery compartment to ensure a contact. Even then, it doesn't always work.Occasionally the frame forgets that I have a USB drive in it and starts to cycle through the stock photos it came with."", ""At first I was quite disappointed with the image quality, but after comparing it with more expensive digital picture frames, i have concluded that this is  good value for the money. The remote is handy and it works quite well.""]",24.419708002824336
G_005,REC_005,B0012YKLSE,Home_and_Kitchen,medium,descriptive,dense,5,What are the measurements for this item?,[UNANSWERABLE],,0,"[""KB_00046"", ""KB_00049"", ""KB_00045"", ""KB_00044"", ""KB_00050""]","[""i was glad to find this extra large sink protector for use in our new kitchen. It protects both the sink and the dishes in our new sink that is more than 25 inches wide. The unit is sturdy and easy to keep clean."", ""Your product works perfect for my large sink. Thank you for selling this larger size on amazon as not found locally"", ""it fit my sink perfectly, looks great, but most importantly it can withstand tons of weight without breaking. i have a 1-piece rectangular deep sink, therefore, i can fit way more dishes in my sink than a regular 2-part sink. i had my sink full to the brim (with pots in there too) and this guy here, held up really well. no problems with it breaking."", ""one of the welds broke on this sink protector less than a month after i bought it. sadly, it seems to be the only one out there that fits my particular sink (a large, single bowl elkay model). it was cheap - but you get what you pay for, i guess."", ""We love this product. We bought our first one three years ago and it has lasted this entire time without any problems or issues. We are ordering another one while they're still available, not because the one we have needs replacing. Now that we know they last for a very long time we want to make sure we have a replacement on hand as this was the only one we could find that was big enough for our sink! LOVE it!""]",9.372207998239901
G_006,REC_006,B004OFOT72,Sports_and_Outdoors,long,descriptive,dense,5,hi does anyone know if it will take a scope and could you hunt bull frogs with it if you wanted to,"The crossbow comes with a scope of its own, and if sighted in properly you could probably hit a bull frog",KB_00060,1,"[""KB_00059"", ""KB_00060"", ""KB_00055"", ""KB_00058"", ""KB_00052""]","[""I purchased the 150 Lbs Camo Crossbow with Scope and Arrows for my husband for hunting season. He loves it and it works great! It was a great buy for the price and it came with some arrows. The only negative feedback was that the crossbow string was pretty difficult to get on, but other than that, we have no complaints about this crossbow!"", ""good starter crossbow for target practice/sport/small game, not sure if it will do good for large game hunting?? must stock up on bolts and strings  also....not a bad investment tool is a Crossbow Double Handle Cocking Device"", ""Seems good. scope is small and for air rifles. It isnt the camo one it the picture at all. It is wood and black metal but seems sturdy."", ""I bought the crossbow for my husband for a surprise for hunting this year it came in early packed very good. It didn't have very good instructions on how to assemble but it was easy to figure out. It was sent with a scope but my husband didn't put it on it because you wouldn't have good vision through it later in the evening."", ""Additional issue is serious safety concern regarding retension of cocking string at rear of metal trigger housing-there is not one on the xbow! A quick fix would be to file a groove at the rear of this metal housing OR do as I did a buy a longer cocking string and load from the shoulder plate of the stock. The scope had to be replaced as it could not be sighted-in to hold any sort of consistent shooting pattern.""]",23.523625000962056
G_007,REC_007,B005XUNG5I,Health_and_Personal_Care,short,descriptive,dense,5,what is the power source?,"Batteries, but I found it to be weak.",KB_00064,1,"[""KB_00067"", ""KB_00061"", ""KB_00062"", ""KB_00065"", ""KB_00066""]","[""At this point I wish I'd have paid the extra to get one with a power cord.Please note that the replacement cartridges are NOT cheap but the durability seems good."", ""It is ok but if it was electric it would of been better. To me it could have more power"", ""Needs more power I find the engine does not have enough grunt for my liking."", ""This workers wonders. The batteries last and it has power. Makes my heels feel so soft. I can wear saddles again and do not need to smoother my heels in Vaseline."", ""This product works well overall and the fact that it doesnt have blades makes it a lot safer than other products out there.However it is a little short on power, could be stronger""]",28.326500003458932
G_008,REC_008,B002LAS5TU,Home_and_Kitchen,long,descriptive,dense,5,"Does the lids fit on the pans also? For example, does the large pot lid fit on the large pan?",The largest ps. Is the only one that a lid doesn't fit. This is a great set for the money,KB_00072,1,"[""KB_00072"", ""KB_00073"", ""KB_00071"", ""KB_00079"", ""KB_00077""]","[""I love these pans. The fry pans do not come with lids, but most lids are interchangeable for these pans. Nothing sticks to them! They are very easy to wash. They heat evenly. I have ordered more. This seller also gets the product out quickly."", ""One of the pot cover did not fit properly.Can't believe the handle fell off after a  month. I would not recommend."", ""I haven't used my set very long yet, but they cook well so far, have a comfortable handle and  I love the glass lids which seem to have a good fit. They are also very easy to clean. I have been buying additional pieces to add to the original set of 8 . The box says that they can be washed in the dish washer but I hand wash them like I have done others in the past. so far....so good!"", ""I've had these pots and pans for 2 years and am just now seeing wear in my most used pan. I cook every night! I plan on ordering another set to use to slowly replace mine as they age. I love Teflon pans but hate the chemicals. These are the perfect alternative for those concerned with providing safe meals for our families."", ""I love this set. Is it perfect. I hate when sets come with too much crap that just isn't needed. This set is the first real non-stick I've seen. Pans are great size so no need to buy an extra bigger pan.""]",22.90437500050757
G_009,REC_009,B00AR1A7ZU,Pet_Supplies,long,descriptive,dense,5,How big is the part that actually goes in the tank? I'm trying to figure out if it will fit in my (very small) sump.,[UNANSWERABLE],,0,"[""KB_00081"", ""KB_00088"", ""KB_00086"", ""KB_00089"", ""KB_00085""]","[""No more coming home to my return pump inhaling all that air. Works great for my 55 gallon with 10 gallon sump."", ""I picked this up for my 30g cube tank and has come in handy from the start. It was easy to setup and works like a charm. I just drop the pump/sensor into a 5gal container with RO water and it keeps my tank filled to the exact mark I want and keeps the protein skimmer working perfectly."", ""This thing is a life saver!! Very accurate and easy to install. I was using a dosing pump before, I can't believe I waited this long to buy one of these. By far the best investment I've made for my tank."", ""I love this thing. It came off highly rated from others and I see why. I started out putting a little water in the tank every few days, now I just keep a bucket filled up and this keeps my tank at the exact right height. I also put kalkwasser in the bucket so it drips it in to help with calcium, magnesium and PH. Hasn't failed."", ""Pretty easy to setup and works as stated. I have a 5 gallon container under my tank that i fill up probably once every 1-2 weeks that it takes the RODI water from. Good quality German product.""]",24.419000001216773
G_010,REC_010,B000GU3KHO,Automotive,long,descriptive,dense,5,I have a Harley Dyna Switchback with windshield and saddle bags.  Is the XL the right size for me?,[UNANSWERABLE],,0,"[""KB_00091""]","[""Comes with a neat holding bag that it wraps up into relatively easily. A size XL fits my '94 Honda CB1000 without a windshield perfectly.""]",27.177582996955607
