chunk_id,doc_id,record_id,asin,category,text,n_words
PASS_000001,KB_00001,REC_001,B00E7LVBCE,Electronics,Excellent. I wanted a monitor to connect to my laptop. I am enjoying with my new dell monitor good.It has both VGA and DVI options. Would have given 5 rating if the VGA cable was of good quality. Its of very poor quality.,43
PASS_000002,KB_00002,REC_001,B00E7LVBCE,Electronics,I bought this to be used in my lab for my test servers. For less than a $100 I think I got a pretty good monitor. No - its not supper great for starring at all day - but its good enough to be used as a second monitor. Its attached to a DVI KVM.,55
PASS_000003,KB_00003,REC_001,B00E7LVBCE,Electronics,"This item arrived on time as promised. I unpacked the monitor, connected it to the computer, turned it on and it began to work correctly without any problems. I will buy another one if I need in the future.",39
PASS_000004,KB_00004,REC_001,B00E7LVBCE,Electronics,"For the money I paid and the brand of Dell, I am thrilled! No generic names. My Dell monitor fits my Dell computer just wonderful! And, I received it within 3 days! What else can I say. Thank you",39
PASS_000005,KB_00005,REC_001,B00E7LVBCE,Electronics,I bought this monitor because of its low price and thought I had gotten a good deal at the time. I should have payed more attention to the reviews. It was hard to look at for any length of time and it could not be seen from a angle. Disappointing at best although I now have a monitor to go with my old computer when I sell it.,68
PASS_000006,KB_00006,REC_001,B00E7LVBCE,Electronics,"Not too many reviews on this  but I think its a great monitor. Bought it for a new Dell pc and it looks great. The picture is fine and its a larger screen size than you would think. The dimensions are a little different. The monitor itself feels very wide or elongated but you get used to it. Not that big of a deal. Mine came with two cords, the VGA and DVI were included. Great purchase/ I would definitely recommend.",81
PASS_000007,KB_00007,REC_001,B00E7LVBCE,Electronics,"Using the computer this afternoon, a medium-size black circle has appeared in the upper right screen. I cannot remove it, know the monitor is going bad. I am trying to figure out how to return it to Amazon for a replacement. I am quite discouraged. Amazon refuses to exchange the monitor, say I must go to the manufacturer, the manufacturer says I must go to the retailer, ie. Amazon. So, now what do I do?? ?",76
PASS_000008,KB_00008,REC_001,B00E7LVBCE,Electronics,Easy to set up. Bright and vivid colors. Best value I found for my new Dell computer.Don't understand complaints about viewing from side. Why would you want to view it other than on your desk?,35
PASS_000009,KB_00009,REC_001,B00E7LVBCE,Electronics,"I absolutely love this computer screen! It's very bright and it doesn't take a long time to set up. It was supposed to ship to me at Tuesday, May 20, 2014. But I got it a day earlier which made my day. I would recommend this computer screen, very nice resolution.",51
PASS_000010,KB_00010,REC_001,B00E7LVBCE,Electronics,I bought this to replace the 14&#34; I broke when I fell down the stairs. It will not work with the Dell 531s I gave my nephews and niece to practice using the computer when they got home from school. My 24&#34; Dell works fine with the 531s but not the 19&#34;. I wasted a lot of money getting it shipped to Mexico only to find out it will work.,70
