doc_id,record_id,qid,asin,category,source_file,review_text,n_words,source_field
KB_00001,REC_001,14414,B003HV3WN6,Automotive,train,I work in the automotive field and my coworkers turned me onto this tool. It's great and amazon has it at the best price anywhere.,25,review_snippets
KB_00002,REC_001,14414,B003HV3WN6,Automotive,train,I use this almost every day at work. It is a great tool made to the highest standard. All parts included are very high quality. Big time saver.,28,review_snippets
KB_00003,REC_001,14414,B003HV3WN6,Automotive,train,"Love this power probe 3. Takes the place of a light tester, multimeter, work light!!! It is the best thing since sliced bread, lol. Love this tool!! !",28,review_snippets
KB_00004,REC_001,14414,B003HV3WN6,Automotive,train,Good tool. Well designed. 20 foot leads allow you to work on trailers connections  very easily. The various tools work in manyapplications. Good video instructions on you tube.,28,review_snippets
KB_00005,REC_001,14414,B003HV3WN6,Automotive,train,"The power probe three is a great tool, I have had great success with the use of this tool to, find the solutions, and in record time to keep me competitive in my line of work, nothing else compares!",39,review_snippets
KB_00006,REC_001,14414,B003HV3WN6,Automotive,train,When people say it is just a test light they are comparing apples to oranges. I am just a shade tree mechanic and I can say if you can get one get it. You can check out the electrical section at Realfixesrealfast.com and see it at work. just go to the video section. Hope this helps.,56,review_snippets
KB_00007,REC_001,14414,B003HV3WN6,Automotive,train,"There is no tool on the market that can help you find specific wires in a vehicle whether it be a boat, car, truck, motorcycle, etc. And the Powerprobe III has every feature you could imagine to help you accomplish that task. Highly recommended. I wouldn't work without one.",49,review_snippets
KB_00008,REC_001,14414,B003HV3WN6,Automotive,train,"To find a break in a circuit, just test along the way till you lose the voltage. For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes! Power Probe's website has videos on how to use it cleverly, and I recommend you take the tutorial.",64,review_snippets
KB_00009,REC_001,14414,B003HV3WN6,Automotive,train,"I've owned this gizmo for a couple years now (started w/the Power Probe 2, then upgraded to the 3), and it has changed the way I approach automotive & RV electrical diagnostics. I look for tools that represent a real value, and am frequently disappointed, but not w/the PP3. This is worth every penny. The guys who designed this were really thinking about how you get diagnostic work done.",69,review_snippets
KB_00010,REC_001,14414,B003HV3WN6,Automotive,train,"If you work on cars, you simply MUST HAVE this tool. I installed auto security for 15 years, and do not remember what I did before I owned this tool. Do not waste your time with anything else. It's nice to be able to hit a wire such as a trunk release, and be able to probe either polarity, and PULSE either polarity. The sharp probe is fine, but can be dangerous! If you work under dash's, these can easily stab your eye or back.",85,review_snippets
KB_00011,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,"In closing I can truthfully say that one can get just as much effectiveness by inhaling deeply, exhaling through pursed lips with teeth inhibiting the flow of air. You can make this as easy or difficult as you wish and do it anywhere and at anytime. Approximately the same idea as the Ultrabreathe. I do both.",56,review_snippets
KB_00012,REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,After just my first session using this i felt it was easier to inhale and take in a full breath...,20,review_snippets
