golden_id,record_id,asin,category,q_bucket,question_type,pipeline,k,question,gold_answer,evidence_doc_id,is_answerable,retrieved_doc_ids,retrieved_context,retrieval_ms
G_001,REC_001,B003HV3WN6,Automotive,medium,descriptive,sentwin,3,Does this work on 12 and 24 volts system,[UNANSWERABLE],,0,"[""KB_00006"", ""KB_00008"", ""KB_00008""]","[""I am just a shade tree mechanic and I can say if you can get one get it. You can check out the electrical section at Realfixesrealfast.com and see it at work. just go to the video section."", ""To find a break in a circuit, just test along the way till you lose the voltage. For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes!"", ""For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes! Power Probe's website has videos on how to use it cleverly, and I recommend you take the tutorial.""]",96.55554199707694
G_002,REC_002,B0000E2PBX,Health_and_Personal_Care,long,descriptive,sentwin,3,"The ball completely blocks air from passing by to get to my lungs, is this supposed to happen? Are you supposed to get NO air when inhaling? The instructions state ""inhale...until you feel your lungs are full"" but that doesn't happen with the ball completely blocking all air from passing into your mouth. thanks.",[UNANSWERABLE],,0,"[""KB_00014"", ""KB_00014"", ""KB_00011""]","[""I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active. I can feel them working differently than they usually do, and it's quite a workout!It's analogous to the benefit that a really bulked-up football player gets when he stretches."", ""I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active."", ""In closing I can truthfully say that one can get just as much effectiveness by inhaling deeply, exhaling through pursed lips with teeth inhibiting the flow of air. You can make this as easy or difficult as you wish and do it anywhere and at anytime.""]",30.939750002289657
G_003,REC_003,B004XMVZVY,Toys_and_Games,medium,descriptive,sentwin,3,How many are in the pack??,There is only 1 in a pack.,KB_00030,1,"[""KB_00030"", ""KB_00030"", ""KB_00021""]","[""Next year I plan on buying a case or 2. Gotta bring these back!"", ""When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2."", ""when you throw at your friend you will hear the football whistling. light and durable. mine is already starting to come apart at the wings because hit the ground so much.""]",29.79908300039824
G_004,REC_004,B0010WP46M,Electronics,long,descriptive,sentwin,3,"Does the power adaptor work with international voltages? Basically want to know if the power adaptor will work overseas as well (220 V), and what the power output of that adaptor is (for eg. 5V DC at 500 ma?).",Yes. It supports 100V-240V,KB_00032,1,"[""KB_00036"", ""KB_00039"", ""KB_00031""]","[""I bought this as a Christmas gift and it never worked at all. Would not even power on."", ""Bought this for a gift...it worked pretty well right out of the box. The resolution isn't excellent, and the navigation's a little rough, but it does come with a remote."", ""I got this frame for free, so I can't complain about the price. Now that I have it, I know that I wouldn't buy it.The remote is cheaply constructed and the battery doesn't sit well in it. To make it work I have to not only squeeze the right button, but squeeze the battery compartment to ensure a contact.""]",27.03654100332642
G_005,REC_005,B0012YKLSE,Home_and_Kitchen,medium,descriptive,sentwin,3,What are the measurements for this item?,[UNANSWERABLE],,0,"[""KB_00047"", ""KB_00049"", ""KB_00046""]","[""was a little concerned with the reviews about it breaking, but ive had mine for over a year now and have had absolutely no problems with it. fits nicely into the oversized sink in the old house that im renting. doesnt scratch up the sink since the feet are covered."", ""Your product works perfect for my large sink. Thank you for selling this larger size on amazon as not found locally"", ""i was glad to find this extra large sink protector for use in our new kitchen. It protects both the sink and the dishes in our new sink that is more than 25 inches wide.""]",9.592750000592787
G_006,REC_006,B004OFOT72,Sports_and_Outdoors,long,descriptive,sentwin,3,hi does anyone know if it will take a scope and could you hunt bull frogs with it if you wanted to,"The crossbow comes with a scope of its own, and if sighted in properly you could probably hit a bull frog",KB_00060,1,"[""KB_00058"", ""KB_00055"", ""KB_00052""]","[""It didn't have very good instructions on how to assemble but it was easy to figure out. It was sent with a scope but my husband didn't put it on it because you wouldn't have good vision through it later in the evening."", ""Seems good. scope is small and for air rifles. It isnt the camo one it the picture at all."", ""A quick fix would be to file a groove at the rear of this metal housing OR do as I did a buy a longer cocking string and load from the shoulder plate of the stock. The scope had to be replaced as it could not be sighted-in to hold any sort of consistent shooting pattern.""]",26.490583004488144
G_007,REC_007,B005XUNG5I,Health_and_Personal_Care,short,descriptive,sentwin,3,what is the power source?,"Batteries, but I found it to be weak.",KB_00064,1,"[""KB_00065"", ""KB_00067"", ""KB_00063""]","[""This workers wonders. The batteries last and it has power. Makes my heels feel so soft."", ""At this point I wish I'd have paid the extra to get one with a power cord.Please note that the replacement cartridges are NOT cheap but the durability seems good."", ""This thing sands them down in no time. Has good power and so far it's great!""]",25.376166006026324
G_008,REC_008,B002LAS5TU,Home_and_Kitchen,long,descriptive,sentwin,3,"Does the lids fit on the pans also? For example, does the large pot lid fit on the large pan?",The largest ps. Is the only one that a lid doesn't fit. This is a great set for the money,KB_00072,1,"[""KB_00075"", ""KB_00072"", ""KB_00077""]","[""Not bad. Pretty decent little set of pans.I wish there was one slightly larger lid - but hey - no biggie."", ""I love these pans. The fry pans do not come with lids, but most lids are interchangeable for these pans. Nothing sticks to them!"", ""This set is the first real non-stick I've seen. Pans are great size so no need to buy an extra bigger pan.""]",21.524374998989515
G_009,REC_009,B00AR1A7ZU,Pet_Supplies,long,descriptive,sentwin,3,How big is the part that actually goes in the tank? I'm trying to figure out if it will fit in my (very small) sump.,[UNANSWERABLE],,0,"[""KB_00081"", ""KB_00083"", ""KB_00088""]","[""No more coming home to my return pump inhaling all that air. Works great for my 55 gallon with 10 gallon sump."", ""Why did I not get one of these months ago!?! ?Keeps a stable water level in the return chamber of my 20 gallon sump. I use a 5 gallon water transporting jug."", ""I picked this up for my 30g cube tank and has come in handy from the start. It was easy to setup and works like a charm.""]",24.965999997220933
G_010,REC_010,B000GU3KHO,Automotive,long,descriptive,sentwin,3,I have a Harley Dyna Switchback with windshield and saddle bags.  Is the XL the right size for me?,[UNANSWERABLE],,0,"[""KB_00091""]","[""Comes with a neat holding bag that it wraps up into relatively easily. A size XL fits my '94 Honda CB1000 without a windshield perfectly.""]",25.23362499778159
G_011,REC_011,B008URGSWO,Home_and_Kitchen,long,descriptive,sentwin,3,"how thick is it, really?  some say 1/2"", some say 2"", 2-1/2"".  does it flatten out?  comparing it to the extra plush, extra thick pad, what would one?","Mine is just shy of a full 2 inches at the plushest points. Mine has not flattened out. All my shoulder pain is gone. My wife no longer has back pain. I didn't want to spend this much but now that I have it, I consider every dime spent well worth it.",KB_00093,1,"[""KB_00101"", ""KB_00098"", ""KB_00100""]","[""Really like pad very thick. Nice though."", ""I'm anticipating this Made in teh USA mattress topper to hold up for many years to come! At about 1.5 to 2 inches thick, it adds the perfect soft yet supportive loft to my mattress. Get one."", ""Wasn't as thick as I'd hoped but it does seem to work very well with the heat issue from my very firm memory foam icomfort mattress. I did end up buying a cheep ($40) 1 1/2 inch mattress pad from Walmart and put this mattress pad on top of that and my bed is much more comfortable now and I don't sweat all night!""]",25.884416994813364
