pipeline,k,qid,token_f1,faithfulness,answerability,recall_at_k
bm25,10,REC_001,0.0,1.0,1.0,
bm25,10,REC_002,0.0,0.0,1.0,
bm25,10,REC_003,0.0,0.0,0.0,1.0
bm25,10,REC_004,0.0,1.0,1.0,1.0
bm25,10,REC_005,0.0,1.0,1.0,
bm25,10,REC_006,0.2028985507246377,1.0,1.0,1.0
bm25,10,REC_007,0.05555555555555556,1.0,1.0,1.0
bm25,10,REC_008,0.1951219512195122,0.6666666666666666,1.0,1.0
bm25,10,REC_009,0.0,0.0,1.0,
bm25,10,REC_010,0.0,0.0,1.0,
bm25,10,REC_011,0.17777777777777778,1.0,1.0,1.0
bm25,10,REC_012,0.125,0.0,0.0,1.0
bm25,10,REC_013,0.0,1.0,1.0,
bm25,10,REC_014,0.0,0.0,1.0,
bm25,10,REC_015,0.0,1.0,1.0,
bm25,10,REC_016,0.0,0.0,1.0,
bm25,10,REC_017,0.0,1.0,1.0,
bm25,10,REC_018,0.0,0.5,1.0,
bm25,10,REC_019,0.0,0.0,0.0,1.0
bm25,10,REC_020,0.0,0.0,1.0,
bm25,10,REC_021,0.0,1.0,1.0,
bm25,10,REC_022,0.0,1.0,1.0,
bm25,10,REC_023,0.0,0.0,0.0,1.0
bm25,10,REC_024,0.0,0.0,1.0,
bm25,10,REC_025,0.0,0.0,0.0,1.0
bm25,10,REC_026,0.2285714285714286,0.25,1.0,1.0
bm25,10,REC_027,0.0,0.0,1.0,
bm25,10,REC_028,0.0,1.0,1.0,
bm25,10,REC_029,0.0,0.8,1.0,1.0
bm25,10,REC_030,0.0,0.0,0.0,1.0
bm25,10,REC_031,0.0,1.0,1.0,
bm25,10,REC_032,0.1728395061728395,1.0,1.0,1.0
bm25,10,REC_033,0.0,0.0,1.0,
bm25,10,REC_034,0.0,0.0,1.0,
bm25,10,REC_035,0.0,1.0,0.0,
bm25,10,REC_036,0.27586206896551724,1.0,1.0,1.0
bm25,10,REC_037,0.0,0.0,1.0,
bm25,10,REC_038,0.1935483870967742,0.7142857142857143,1.0,1.0
bm25,10,REC_039,0.11764705882352941,1.0,1.0,1.0
bm25,10,REC_040,0.375,1.0,1.0,1.0
bm25,10,REC_041,0.16666666666666666,0.0,1.0,1.0
bm25,10,REC_042,0.025316455696202528,1.0,1.0,1.0
bm25,10,REC_043,0.3181818181818182,1.0,1.0,1.0
bm25,10,REC_044,0.2545454545454546,0.8,1.0,1.0
bm25,10,REC_045,0.0,0.0,1.0,
bm25,10,REC_046,0.2635658914728682,0.5,1.0,1.0
bm25,10,REC_047,0.3278688524590164,0.8,1.0,1.0
bm25,10,REC_048,0.17647058823529413,0.8333333333333334,1.0,1.0
bm25,10,REC_049,0.02777777777777778,0.0,0.0,1.0
bm25,10,REC_050,0.15094339622641512,1.0,1.0,1.0
bm25,10,REC_051,0.3943661971830986,1.0,1.0,1.0
bm25,10,REC_052,0.0,0.8,0.0,
bm25,10,REC_053,0.0,1.0,1.0,1.0
bm25,10,REC_054,0.07547169811320754,0.0,0.0,1.0
bm25,10,REC_055,0.17204301075268816,0.42857142857142855,1.0,1.0
bm25,10,REC_056,0.0,1.0,1.0,
bm25,10,REC_057,0.06779661016949153,1.0,1.0,1.0
bm25,10,REC_058,0.23529411764705882,1.0,1.0,1.0
bm25,10,REC_059,0.1395348837209302,1.0,1.0,1.0
bm25,10,REC_060,0.0857142857142857,1.0,1.0,1.0
bm25,10,REC_061,0.0,1.0,0.0,1.0
bm25,10,REC_062,0.2631578947368421,1.0,1.0,1.0
bm25,10,REC_063,0.33333333333333337,1.0,1.0,1.0
bm25,10,REC_064,0.0,0.8333333333333334,0.0,
bm25,10,REC_065,0.2926829268292683,0.8571428571428571,1.0,1.0
bm25,10,REC_066,0.14285714285714288,1.0,1.0,1.0
bm25,10,REC_067,0.0,1.0,1.0,
bm25,10,REC_068,0.10526315789473685,1.0,0.0,1.0
bm25,10,REC_069,0.0,0.0,1.0,
bm25,10,REC_070,0.20689655172413793,0.5,1.0,1.0
bm25,10,REC_071,0.039735099337748346,0.0,0.0,1.0
bm25,10,REC_072,0.0,0.0,0.0,1.0
bm25,10,REC_073,0.22222222222222224,1.0,0.0,1.0
bm25,10,REC_074,0.19999999999999998,1.0,1.0,1.0
bm25,10,REC_075,0.3,1.0,1.0,1.0
bm25,10,REC_076,0.0,1.0,1.0,
bm25,10,REC_077,0.27586206896551724,1.0,1.0,1.0
bm25,10,REC_078,0.0,1.0,1.0,
bm25,10,REC_079,0.0,1.0,1.0,
bm25,10,REC_080,0.0,1.0,1.0,
bm25,10,REC_081,0.0,1.0,0.0,
bm25,10,REC_082,0.0,0.0,1.0,
bm25,10,REC_083,0.24,1.0,1.0,1.0
bm25,10,REC_084,0.3,1.0,1.0,1.0
bm25,10,REC_085,0.1293532338308458,0.625,1.0,1.0
bm25,10,REC_086,0.09523809523809523,0.0,0.0,1.0
bm25,10,REC_087,0.0,1.0,1.0,
bm25,10,REC_088,0.057692307692307696,1.0,0.0,1.0
bm25,10,REC_089,0.11320754716981134,0.7142857142857143,1.0,1.0
bm25,10,REC_090,0.03571428571428572,1.0,0.0,1.0
bm25,10,REC_091,0.0,0.8,0.0,
