golden_id,record_id,asin,category,q_bucket,question_type,pipeline,k,question,gold_answer,evidence_doc_id,is_answerable,retrieved_doc_ids,retrieved_context,retrieval_ms,generated_answer,refused,generation_ms
G_001,REC_001,B00E7LVBCE,Electronics,medium,descriptive,hybrid,5,My computer is DVI-I.  This monitor is DVI-D.  Is it compatible?,[UNANSWERABLE],,1,"[""KB_00001"", ""KB_00002"", ""KB_00003"", ""KB_00006"", ""KB_00005""]","[""Excellent. I wanted a monitor to connect to my laptop. I am enjoying with my new dell monitor good.It has both VGA and DVI options. Would have given 5 rating if the VGA cable was of good quality. Its of very poor quality."", ""I bought this to be used in my lab for my test servers. For less than a $100 I think I got a pretty good monitor. No - its not supper great for starring at all day - but its good enough to be used as a second monitor. Its attached to a DVI KVM."", ""This item arrived on time as promised. I unpacked the monitor, connected it to the computer, turned it on and it began to work correctly without any problems. I will buy another one if I need in the future."", ""Not too many reviews on this  but I think its a great monitor. Bought it for a new Dell pc and it looks great. The picture is fine and its a larger screen size than you would think. The dimensions are a little different. The monitor itself feels very wide or elongated but you get used to it. Not that big of a deal. Mine came with two cords, the VGA and DVI were included. Great purchase/ I would definitely recommend."", ""I bought this monitor because of its low price and thought I had gotten a good deal at the time. I should have payed more attention to the reviews. It was hard to look at for any length of time and it could not be seen from a angle. Disappointing at best although I now have a monitor to go with my old computer when I sell it.""]",16.317208064720035,The available reviews do not provide enough information to answer this question.,True,193.8040000386536
G_002,REC_002,B008N7CCJY,Electronics,medium,descriptive,hybrid,5,Can I use this for my android tablet in the car,"Dear Ann I do not own a tablet,however the purpose of this transmitter is to broadcast a signal thru your car stereo from outside devices, when you carstereo does not have an 3.5mm cable port this is a substitute.So if you are planing to play music thru your tablet ( AND ) if your tablet has a ear phone jack then yes it should work",KB_00016,1,"[""KB_00012"", ""KB_00015"", ""KB_00014"", ""KB_00017"", ""KB_00011""]","[""I use this in my car all of the time when I'm waiting in my car for someone or when I am driving. I love it a lot I definitely recommend!"", ""I just got this for my wife's car so we could listen to music from our phones. We used to use a tape deck adapter but the tape deck in her car just stopped working, so I got this."", ""This transmitter works great . . I love it . I can now use my phone in the car . The only couple of problems is that of course there's a little bit of static depending where your at but over all a great product"", ""I have a friend who has a similar product and he showed it to me and I thought that was cool beings I have a older car that doesn't have that .Hooked it up and works GREAT and also you can get phone calls though your car speakers which is quite helpful with the Laws in my State you can't use a cell while driving and it solves that problem. I would recommend this product to anyone THANX AMAZON : ) !! Very Happy"", ""Works great! Works with android phones well which is what both my fiance and I have. Easy to use too.""]",15.357999945990741,"This product works with Android phones, and several reviewers have successfully used it in their cars. It allows for music playback and hands-free phone calls through the car speakers.",False,319.7647089837119
G_003,REC_003,B008VGQ4VO,Electronics,long,descriptive,hybrid,5,"Can anyone provide the cord length? My CPU is under my desk, and most earbuds only provide about 4', which is too short.",[UNANSWERABLE],,1,"[""KB_00023"", ""KB_00027"", ""KB_00028"", ""KB_00025"", ""KB_00021""]","[""Comfortable earbuds but there's already a short the sound and I'd say I've had these about a month. Not too happy about that."", ""I recently bought these here and in my opinion....the new flat cord was a terrible idea....I had a pair before these with the round cord and they were great until they developed a short of course....unless you only listen motionless these new one's are worthless....the cord noise is so bad it's ridicules...why they would want to lose good customers like myself is a mystery to me...but they have...."", ""There is also a lot of cord noise. I sit at my desk and listen to pandora, and have to take the headphones out because the cord noise becomes very distracting - the slightest shift is incredibly loud.3. The tip. The eartips were very soft in the original S4 and could be removed easily for cleaning. These tips are made of much stiffer plastic that is unpleasant to use for long periods."", ""After doing a huge amount of researches, l finally decided to choose klipsch s4ii. I was looking for sth that could provide me the best sound under $100. I was thinking about Bose, but most other people were saying that these were worth the money. I put them on....the mids and background details are really nice! however! the baas is kinda bad. I was pretty disappointed by that. Even those $20 earbuds have stronger baas than it does."", ""the sound is great if u are not moving. good for desk work or laying in bed listening to music. the cords DO make a noise when u move them. when i called klipsch to ask about the noise they said they never heard of that before. i doubt that but will be returning them more than likely. also they short out easily if ur ears get sweaty.""]",17.1299590729177,The available reviews do not provide enough information to answer this question.,True,276.3079999713227
G_004,REC_004,B00C53831I,Electronics,medium,descriptive,hybrid,5,Will These Work In My Dell Optiplex GX 620sff?,"Yes, they should work on your Dell Optiplex 620. I have a desktop of that vintage and these modules worked on mine. Here's a suggestion: Go to Crucial.com and take advantage of their memory scanner-----this will verify the kind of memory modules your computer needs-----this doesn't commit you to buying theirs.",KB_00033,1,"[""KB_00033"", ""KB_00031"", ""KB_00034"", ""KB_00036"", ""KB_00032""]","[""One needs to be careful in buying memory modules without the advice of the makers of these modules. If you know the exact nomenclature of the description (by a little research) of the modules you need, then it is safe to purchase same. These modules were just what I needed to expand the memory on my Dell desktop computer. Easy to install and ran my memory stress tests with no errors. A good buy at a bargain price."", ""The memory was a perfect fit for my Dell desktop computers and I had no problem with installing the memory myself. I received my purchase ahead of time and you can not beat the price."", ""Ordered this a few days ago in order to replace some failing ram sticks, and to my surprise, the packaged arrived early! When I opened it, I thought to myself &#34;this is it, these will last me for a lifetime&#34;, and to my dismay, the ram sticks did NOT match at all! But the worst and most stressing part about this is that the new sticks did not work!"", ""i ordered two matching sticks and got two different ones. according to CPU-Z one stick is PC2-5300 and the other is PC2-6400 both made by MELCO. although the 6400 stick will revert back to 5300 it kinda makes you wonder how this could happen. you get what you pay for i guess."", ""The memory I received was made in 2007. It passed the performance test with average scores on the old Dell I put it in. Works good and I'm satisfied. Three stars.... I save higher ratings for excellence.""]",19.24454199615866,The available reviews do not provide enough information to answer this question.,True,253.37766599841416
G_005,REC_005,B006YVFGAS,Electronics,medium,descriptive,hybrid,5,Would I need to still buy a converter box for this antenna?,"Depends on your display monitor or TV. It needs to have a tuner built in to the display to go without a converter box. If it's an old heavy box CRT TV you will probably need a converter box. If it's a newer LCD TV than you probably don't. In a nutshell, your monitor or TV needs to be able to receive ATSC signals.",KB_00041,1,"[""KB_00041"", ""KB_00042"", ""KB_00049"", ""KB_00045"", ""KB_00043""]","[""I was a little worried that this antenna would be a waste of money, but I was wrong. After years of pixelation and moving my old rabbit ears around to try to get stations, I wanted to try something better. I have this going in to a digital converter box as I still have a tube TV. After messing around with the placement, I get more channels than before and I no longer have to worry about if where I sit in the room will affect my reception. Very good antenna!"", ""power, and with a new converter box scan I was able to somewhat pick up WTMV and its 2 sub-channels, 29-1, 29-2, and 29-3. It was VERY scrambled, and then I tried messing around with the placement of the antenna, and subsequent converter box scans couldn't pick that station up anymore."", ""Sometimes the cables not working too great so I switch to this Antenna and get all the channels I need, never miss a show"", ""This antenna did very poorly and was able only to get reception on 2 channels which formerly got 15 on old antenna .I would not recommend this product to anyone. I went back to old unit sold at Best Buy . It was a total waste of money."", ""It has been years since I bought an antenna, and so, even with digital TV, I was a little skeptical. Setting it up where I wanted it to go served no issue whatsoever. I plugged in the antenna, positioned it with the help of the converter box, and found the ideal position. The picture is comparable to that of satellite, and I am really impressed. Not only can I watch the channels I want to watch, but I can also record any program with the best of quality.""]",19.841875066049397,"Some reviewers used this antenna with a digital converter box, suggesting that a converter box may still be necessary, especially for older TVs. However, one reviewer mentioned getting all the channels they need without mentioning a converter box. The available reviews do not provide enough information to answer this question definitively for all users.",True,514.0283749205992
G_006,REC_006,B00CGW74YU,Electronics,long,descriptive,hybrid,5,It appears to be an elastic band around the middle part of the lens. OUESTION: will this band interfere with the lens when  auto focusing?,[UNANSWERABLE],,1,"[""KB_00053"", ""KB_00060"", ""KB_00054"", ""KB_00052"", ""KB_00057""]","[""I love this product. The band fits great around the lens. No more worrying where to put the lens cap!"", ""I just received the lens caps earlier this week and put them to good use immediately. These lens caps fit my lenses very well, as they will on any 58 mm lens. While I am not going to use the elastic band, I believe I will try to use the cords that come without the elastic. This seems a better fit for my needs.I will definitely recommend this product to a friend . . . but not an enemy."", ""Many similar elastic band retainers have bee criticized for falling off various lens caps and that may be the result of insufficient pressure when installing them."", ""I recently purchased a Nikon D5200 single lens reflex camera and am quite happy with it, except for one thing. The lens caps that came on the lenses have the brand name NIKON deeply embossed on the middle of the outward facing portion of the lens cap. Very good looking, but unfortunately because of that embossing it is impossible to have the adhesive that holds the lens cap to the elastic that goes around the lens adhere to the lens cap."", ""How often have you lost a lens cap? I have many times so I bought several of these and they are great and easy to use, especially with the nifty keeper. Just slip the elastic band on the lens itself and stick the sticky end on the lens cover and off you go!""]",17.56624993868172,The available reviews do not provide enough information to answer this question.,True,198.01016605924815
G_007,REC_007,B004HW6F9M,Electronics,medium,descriptive,hybrid,5,Do you need an amp for it?,Yes you do need an amp for it. I suggest pairing it with a pioneer digital amp. I have 2 of these In my TDI golf 2013 and they save so much space but have higher decibel readings then some of the extensive setups my friends have installed so far.,KB_00061,1,"[""KB_00061"", ""KB_00064"", ""KB_00062"", ""KB_00066"", ""KB_00063""]","[""i read all the reviews before i bought this and didnt see many bad ones. but i had to hear for myself. all i can say is holy crap. this thing is so small and sounds so huge. i have it in a 07 saturn vue running it with a pyramid 1000watt artic amp. if you need space and huuuuge sound buy this. buy it now!!!!!!!! !"", ""It sounds great, I have it running through an ancient RF punch amp and it hits HARD. Granted its an older RF amp and they are SERIOUSLY underrated. Its a sealed enclosure, so it\""s a quick,  solid hard hitting bass, rather than a really deep ultra low tone bass. It does need to break in and i feel that it will only get better after break in."", ""I ordered this not really expecting this much sound out of such a small box. I had an old Hifonics 50 x 50 amp that connected in bridge mode. This thing is awesome! Much more bass than I need. You will not hear it unless you are sitting in the truck and then it rocks. Vibrates the rear view mirror and the seats."", ""I was looking for a sub for my 2000 mustang ragtop to give me some bass when the top was down. Almost spent 600.00  plus at an electronics store, they said I would need a special setup to get bass. I read the reviews on this sub with the boss R1100M. Bought it, installed it, exceeded my expectations. Great sounding bass on the highway with the top down. The adjustable bass control that comes with the amp works great to adjust the sub to different music."", ""I have this laying in the trunk of my 2009 Civic. It takes up a small amount of space, but I can stack luggage on top if I need the space. The Pioneer GM-3500T amp driving it has plenty of power to drown out road noise on the freeway and rattle the trunk if I turn it up. Overall it is a great combination.""]",15.047249966301024,"Yes, an amp is needed for it, as all reviewers used an amp with the product, including a Pyramid 1000watt artic amp, an RF punch amp, a Hifonics 50 x 50 amp, a Boss R1100M, and a Pioneer GM-3500T amp.",False,516.1147919716313
G_008,REC_008,B00CAN8ETE,Electronics,medium,descriptive,hybrid,5,Has any one tried this with any car stereo 30-pin adapters?,It works with most 30 pin adapters. There are a get radios however that will not use the same protocol and do not work with the NAXA,KB_00072,1,"[""KB_00076"", ""KB_00073"", ""KB_00074"", ""KB_00071"", ""KB_00075""]","[""This thing never connected to any of my docks or with my car's 30pin cable. I sent it back and ordered the ViseeO Tune2Air WMA1000 which is more expensive, but works perfectly with every device I have and connects instantly in my car for A2DP Stereo Bluetooth music. Do yourself a favor and spend the extra money to get the ViseeO."", ""I tried this product with two different Sony bookshelf stereo systems and four different smart phones. It powered up and paired with each phone (iPhone 5, HTC One, and Samsung Galaxy), but it would not play any music through either stereo's speakers. I verified each docking station by directly connecting and playing music with an iPod. I returned the bluetooth adapter for a refund."", ""If I could, give this negative stars, I would. Not only did it not work (it just got super hot), when I plugged my iPod back in there was now a thumping noise, and it would no longer charge the iPod. I have one of those USA Spec adapters that hooks into my stereo. So while I was able to return the NAXA, I'm out $100 for the iPod adapter that I now have to replace. Super pissed about this thing."", ""Easy to plug into 30 pin socket and connect to Bluetooth devices. Volume is a bit low so need to crank up stereo then turn volume down for other sources."", ""I thought this would work on my car. My car has a plugin for an ipod so i tried to use this so I can play music from my galaxy s2. Didn't work.""]",16.52779197320342,"Some users have tried this product with 30-pin car stereo adapters, but it did not work for them, while one user found it easy to plug in and connect to Bluetooth devices, albeit with low volume.",False,264.1572499414906
G_009,REC_009,B0013V3CQY,Electronics,long,descriptive,hybrid,5,Can this be connected to a laptop anyway to record if so what do I need if not what will I need to get,"Yes, mine is hooked up to a lap top via an EasyCAP DC60 - USB 2.0 Audio/video Creator Capture High-quality Analog Video and I use a software video capture program to record to the hard drive, however its tedious and I reccomend getting aZmodo PKD-DK4216-500GB H.264 Internet & 3G Phone Accessible 4-Channel DVR with 4 Night Vision Cameras and 500 GB HD for about 100 bucks more for easy recording of surveillance video.",KB_00086,1,"[""KB_00082"", ""KB_00084"", ""KB_00085"", ""KB_00090"", ""KB_00086""]","[""The LCD even has an option to scroll back and forth between the two.Cons:1) To record you do need to hook it up to a recording device. Sadly it does not record on its own which does limit it's helpfulness a bit.2) Sometimes when viewed on a larger TV, the screen can be a bit snowy. However it has never gotten nearly bad enough for me that I couldn't see what was going on outside.3)The camera does need to be sheltered when used outside."", ""This is the second monitor and camera that I have purchased and if another one is needed I will not hesitate to order the same one again. It is just what we need for our vewing. Easy to use."", ""I love this little security camera. I bought it back in 2011 for $50 off Amazon.com from a seller. I mainly bought this to catch my sister&#8217;s ex boyfriend that stalks her constantly. I have yet to catch him, but I have caught many other crazy things outside with this camera. I attached it to my DVD recorder, so I can record for up to several hours non stop and catch anything I might miss."", ""the video baby monitor transmitted a crystal clear picture and great sound. ...therefore, I PACKAGED THE GE CAMERA AND MONITOR UP AND RETURNED IT FOR A REFUND  :(not sure what we're going to get to replace this - would like something that can be placed outside - but the baby monitor worked so well, i may end up with one of those  ;-)sorry that i can't say anything good about this system."", ""It views everything in a black and white picture, but does still have a picture whereas most cameras would just show black.3) The camera can and will record if and only if you hook it up to a VCR, DVD recorder, or some other recording device that works with AV cables.""]",20.538582932204008,"This can be connected to a laptop to record if you have a recording device that works with AV cables, such as a VCR or DVD recorder, to connect in between. You will need a recording device to record, as the camera does not record on its own.",False,337.9417919786647
G_010,REC_010,B004JKBVBY,Electronics,long,descriptive,hybrid,5,Polaroid GL10 PC Driver Does anyone know if Polaroid has issued a printer driver for PC (Win 7) to allow printing on the GL10?I have emailed the Polaroid Customer Contact with no reply.The product instructions say to contact poloriod.com for the software.  I can't find it on that site.Thanks.,"You have to go to, http://www.polaroid.com/en/greylabel and drag the large gray slider bar at the bottom of the page about half way to the right. There you will find links to the Android App, Mac, 32bit and 64bit Windows versions.",KB_00091,1,"[""KB_00094"", ""KB_00091"", ""KB_00096"", ""KB_00097"", ""KB_00093""]","[""I recently purchased the Portable GL10 Zink Printer from Amazon.com. I purchased the product in the view that it was a great idea and an extremely useful way of bringing back the old polaroid photograph style.However, whenever I downloaded the software from the Polaroid website which accompanies the printer, and decided to choose one of the overlaying filters for the photograph, my printer is no longer able to print the normal white border or any other filter."", ""Before noticing the button, I had sent and resent the file multiple times thinking it wasn't working.It took two weeks to find the mythical software on the Polaroid site that allows you to print from your computer. You have to go to polaroid dot com /en/greylabel  That's where you find the software for your PC and android smartphones. If you don't have a cable to print from the computer, one is not supplied. It's a standard cable so I probably have one somewhere."", ""The first printer I got was DOA. Would not power up or connect no matter what I did. No help files, FAQ, drivers, anything really on Polaroid's page. So, I used Amazon's great return policy and just ordered a new one. 2nd one worked fine. But the instructions say \""get the GL10 application\"". OK, where? I had to do some searching to find how to get to the link. Just bad support/design, in my opinion."", ""I just received this today. I'm glad I checked it out before giving it to my husband. The printer would not connect to the computer. After waiting 25 minutes on hold with Polaroid they just told me to return it. Also, it's nearly impossible to find the link for the computer software on the website. Don't bother looking for any instructions online either. To connect to the computer you need a USB to USB cable. This is not supplied and they are hard to find."", ""My expectations were met regarding the picture quality considering the price I paid and the product description. I understood this product was trying to recreate original Polaroid instant photos when I bought it.Ultimately, I returned the GL10. I like Polaroid's concept regarding this printer. However, the printing jams and the poor user interface in both the PC and Android applications make this product unsatisfactory.""]",26.358583010733128,"The Polaroid GL10 printer driver for PC is available on the Polaroid website, but it can be difficult to find, specifically at polaroid dot com /en/greylabel. A standard USB to USB cable is required to connect the printer to the computer, but it is not supplied with the product.",False,332.74387498386204
