record_id,qid,asin,category,source_file,question,question_type,answerability,candidate_answers,golden_answer,evidence_text,evidence_doc_id,selection_method,needs_judge,golden_id,llm_judge_used,llm_judge_model,judge_confidence,verification_status,validation_status
REC_001,14414,B003HV3WN6,Automotive,train,Does this work on 12 and 24 volts system,descriptive,0,"[{'text': 'I have only used in 12 volts systems.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes it works on 24 volt systems', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'yes.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes, it works on any voltage including and between 12-24VDC.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_001,True,gemini-2.5-flash,1.0,judge,ok
REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,"The ball completely blocks air from passing by to get to my lungs, is this supposed to happen? Are you supposed to get NO air when inhaling? The instructions state ""inhale...until you feel your lungs are full"" but that doesn't happen with the ball completely blocking all air from passing into your mouth. thanks.",descriptive,0,"[{'text': 'No, it is not supposed to completely block the air. Use the adjustment knob in the center to control the amount of air you would like to inhale. Loosen for more air, and tighten for less air. Very simple.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Follow the instructions, make sure you are leaving enough open space where the little arrowhead is on the tube.  Also take the mouthpiece off after each use and rinse the entire gadget and/or swish it in some soapy water to monitor bacterial growth.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The end piece controls the amount of click noise you get and has some effect on the air flow.  But the center adjustable collar adjusts from totally off to wide open (all the way out). Start with the center adjusting collar back off and the end so you can feel the click.  Then each week adjust the center collar in a half turn until you have it near shut off. By that time your diaphragm will be supper strong.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_002,True,gemini-2.5-flash,1.0,judge,ok
REC_003,19949,B004XMVZVY,Toys_and_Games,train,How many are in the pack??,descriptive,1,"[{'text': 'just 1', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There is one Nerf Vortex Howler per box. They are a little bit bigger than they appear in the images.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There is only 1 in a pack.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",There is only 1 in a pack.,This made playing football on a 1/4 mile street WAY more fun. Not everyone can throw a football. I've never met anyone who can't throw one of these. When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2. Gotta bring these back!,KB_00030,judge,True,G_003,True,gemini-2.5-flash,0.9,judge,ok
REC_004,40866,B0010WP46M,Electronics,train,"Does the power adaptor work with international voltages? Basically want to know if the power adaptor will work overseas as well (220 V), and what the power output of that adaptor is (for eg. 5V DC at 500 ma?).",descriptive,1,"[{'text': 'I would like to ask the same question because I want to buy it as a gift for my friends in China. Appreciate the manufacturer or user can answer us.  Thanks.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes.  It supports 100V-240V', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",Yes. It supports 100V-240V,"I spent a great deal of time on Amazon's website to look for digital photo frames. My requirements, were crisp picture, 7 inch screen, international power supply (110-220V), MP3 music playing during picture slideshow and below $70 USD. The Axion-9702 does it all. It came in a nice box (good gift), quality of product was great, and most important good decent pictures. The product is made in China but show me one that is not.",KB_00032,judge,True,G_004,True,gemini-2.5-flash,1.0,judge,ok
REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,What are the measurements for this item?,descriptive,0,"[{'text': '2 ft (24"") long by 1 1/2 ft 12.5"" wide, this product is great you won\'t be disappointed.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""12 1/2 inches by 24 inches. Most sinks are not flat. They are pitched towards the drain. You will have to shape(bend) the sink protector to fit the contour of the sink bottom. It's fairly easy. The protector is flat but bendable."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': '12 1/4 in. wide X 24in. long', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': '2 feet x 1 foot', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_005,True,gemini-2.5-flash,1.0,judge,ok
REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,hi does anyone know if it will take a scope and could you hunt bull frogs with it if you wanted to,descriptive,1,"[{'text': ""yes it will take a scope but i think this cross bow is a tad over kill to hunt for frogs??? I don't hunt frogs but if I had to, I would defiantly use a lower draw, but that's just me, of course check your state law's for hunting Frogs in your state. Good luck happy hunting"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The crossbow comes with a scope of its own, and if sighted in properly you could probably hit a bull frog', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","The crossbow comes with a scope of its own, and if sighted in properly you could probably hit a bull frog","good starter crossbow for target practice/sport/small game, not sure if it will do good for large game hunting?? must stock up on bolts and strings  also....not a bad investment tool is a Crossbow Double Handle Cocking Device",KB_00060,judge,True,G_006,True,gemini-2.5-flash,1.0,judge,ok
REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,what is the power source?,descriptive,1,"[{'text': 'Batteries, but I found it to be weak.', 'helpful': 2, 'unhelpful': 0, 'total': 2, 'jeffreys': 0.8333333333333334}, {'text': 'This is a battery powered device, common AA.  Despite this, there is more than enough power to perform a fine job of callous removal.  You must follow the directions related to NOT pushing hard on the device.', 'helpful': 2, 'unhelpful': 0, 'total': 2, 'jeffreys': 0.8333333333333334}, {'text': 'It uses 2 ""AA"" batteries, not included.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Battery operated', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I have the earlier model but it uses 2AA batteries', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'You use 2- AA batteries.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Batteries, but I found it to be weak.",I was disappointed with this. Doesn't have enough power or battery life. I do however like being able to rinse the cylinder when needed.,KB_00064,judge,True,G_007,True,gemini-2.5-flash,1.0,judge,ok
REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,"Does the lids fit on the pans also? For example, does the large pot lid fit on the large pan?",descriptive,1,"[{'text': 'Yes the lids are great for the pans. The large pot lid fits the smaller pan, for some reason there is no lid for the large pan.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""yes, it's not a tight fit but it fits more or less."", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""The largest ps. Is the only one that a lid doesn't fit. This is a great set for the money"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""The large pot lid fits the smaller pan. I've had these pans for almost 2 years now. They are the best I've ever owned. We've tried the Paula Deen and other brands but these ones are awesome!"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Very good. Good price.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",The largest ps. Is the only one that a lid doesn't fit. This is a great set for the money,"I love these pans. The fry pans do not come with lids, but most lids are interchangeable for these pans. Nothing sticks to them! They are very easy to wash. They heat evenly. I have ordered more. This seller also gets the product out quickly.",KB_00072,judge,True,G_008,True,gemini-2.5-flash,1.0,judge,ok
REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,How big is the part that actually goes in the tank? I'm trying to figure out if it will fit in my (very small) sump.,descriptive,0,"[{'text': 'Float switch housing is about 1.25 inches to 1.5 inches across.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""It's a 3 inch around tank cannot have a lip  on it"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'its about the overall size of dollar coin with a depth of a inch', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'The piece that goes into the tank, is only about the size of a quarter. Not big at all. That will send a signal down to the box to turn on the top off water, and that runs from a holding tank with a small gauge tube into the tank.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}]",[UNANSWERABLE],,,judge,True,G_009,True,gemini-2.5-flash,1.0,judge,ok
REC_010,243248,B000GU3KHO,Automotive,train,I have a Harley Dyna Switchback with windshield and saddle bags.  Is the XL the right size for me?,descriptive,0,"[{'text': 'If your windshield is LARGER than standard then yes but if its standard you should have enough space to cover down to the start of the wheels with a Lg', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'This one fits my 2015 street glide special perfect, it will fit yours with plenty of room', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There are better quality covers. Not to deter you away, but to answer your question, yes it will.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I\'m not sure which size I bought, possible the medium and it just fits a 250 Rebel very snugly. When you go to this item you have to put in the year, make and model of your bike and they will tell you what size fits your bike. Unfortunately mine was not listed. The cover is good quality and so far has stood up to rain, extreme wind, ice and 24"" of snow. Hope this helps', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_010,True,gemini-2.5-flash,1.0,judge,ok
REC_011,265146,B008URGSWO,Home_and_Kitchen,train,"how thick is it, really?  some say 1/2"", some say 2"", 2-1/2"".  does it flatten out?  comparing it to the extra plush, extra thick pad, what would one?",descriptive,1,"[{'text': ""Mine is just shy of a full 2 inches at the plushest points. Mine has not flattened out. All my shoulder pain is gone. My wife no longer has back pain. I didn't want to spend this much but now that I have it, I consider every dime spent well worth it."", 'helpful': 2, 'unhelpful': 0, 'total': 2, 'jeffreys': 0.8333333333333334}, {'text': 'It\'s thin. Maybe 1/2 an inch. It\'s more of a pad than a feather bed. It does make the bed softer but you aren\'t gonna get the ""laying in a cloud"" effect. It\'s comfortable and makes our mattress foam bed feel nice.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}]","Mine is just shy of a full 2 inches at the plushest points. Mine has not flattened out. All my shoulder pain is gone. My wife no longer has back pain. I didn't want to spend this much but now that I have it, I consider every dime spent well worth it.","For one thing, it isn't thick enough to sag. I would estimate it as approximately 1.5 to 2"" thick, though the quilted construction makes it difficult to measure. When you lay on it, the loft compresses but does not collapse--meaning that it gives you softness and support, but runs none of the back-pain-inducing risks that we've experienced with thick memory foam mattresses and toppers.Unlike memory foam, the Downlite topper is not nearly as hot at night.",KB_00093,judge,True,G_011,True,gemini-2.5-flash,1.0,judge,ok
REC_012,307359,B000ST0184,Toys_and_Games,train,how can I make it wireless for my win 8.1 PC?,descriptive,1,"[{'text': ""Interesting question. I don't think there is a direct or easy way to do this. The tankstick is basically a big keyboard. Each button/joystick direction is a keyboard button. Knowing this, it would require some type of modification to convert it to a wireless keyboard. It sounds like a project worth attempting. Sorry, I probably didn't help at all."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""Ain't gonna happen, sadly. This thing requires two USB ports (one for the controls, one for the trackball and its related buttons), and the wires are quite long. Also, something else to note is that the Tankstick functions as a keyboard/mouse instead of a DirectInput or XInput device."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Interesting question. I don't think there is a direct or easy way to do this. The tankstick is basically a big keyboard. Each button/joystick direction is a keyboard button. Knowing this, it would require some type of modification to convert it to a wireless keyboard. It sounds like a project worth attempting. Sorry, I probably didn't help at all.","Ever since I got my first X-Arcade almost 8 years ago, I've been in arcade game heaven. I decided to spring for the Tankstick because of the trackball along with the ability to use two joysticks for Smash TV, Robotron 2084, Total Carnage, etc.I'm planning to eventually add a spinner in place of the never used 8th button for player 1 (and perhaps player 2 eventually). This is an important point to bring up - you can mod these things!",KB_00102,judge,True,G_012,True,gemini-2.5-flash,0.8,judge,ok
REC_013,311212,B0013ODWSO,Sports_and_Outdoors,train,Does the white scooter have the same specs as the micro black one?,descriptive,0,"[{'text': 'They are the same except color.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I think so.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Seems like the same', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",[UNANSWERABLE],,,judge,True,G_013,True,gemini-2.5-flash,1.0,judge,ok
REC_014,323990,B005F79BYE,Home_and_Kitchen,train,Does this offer the option of shelving instead of hanging clothes inside the doors?,descriptive,0,"[{'text': ""There is a shelf on top and a hanging bar as well as a drawer on the bottom but no it doesn't come with the option of more shelves"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""There is a drawer as well as a little bit of space for shelving.  I purchased this because of the hanging option for dresses.  I'm honestly satisfied with this purchase because it's useful for what I bought it for."", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'Only one shelf above the bar for hanging clothes is included. No other options for shelving inside the armoire. The drawer below is pretty deep, though. Good space.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'It only allows for hanging clothes and then one shelf exists at the bottom of the unit.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'No. Mine only came with one shelf piece.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'It comes with 1 shelf that has height options.  so you dont have to use the hanger.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'In the bottom and at the top only. If you want to use it for a tv you could. Thats about how high the shelves on the bottom go.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There', 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}, {'text': 'no', 'helpful': 0, 'unhelpful': 1, 'total': 1, 'jeffreys': 0.25}]",[UNANSWERABLE],,,judge,True,G_014,True,gemini-2.5-flash,1.0,judge,ok
