chunk_id,doc_id,record_id,asin,category,text,n_words,parent_id,parent_text
CHILD_000001,KB_00001,REC_001,B003HV3WN6,Automotive,I work in the automotive field and my coworkers turned me onto this tool. It's great and amazon has it at the best price anywhere.,25,KB_00001,I work in the automotive field and my coworkers turned me onto this tool. It's great and amazon has it at the best price anywhere.
CHILD_000002,KB_00002,REC_001,B003HV3WN6,Automotive,I use this almost every day at work. It is a great tool made to the highest standard. All parts included are very high quality. Big time saver.,28,KB_00002,I use this almost every day at work. It is a great tool made to the highest standard. All parts included are very high quality. Big time saver.
CHILD_000003,KB_00003,REC_001,B003HV3WN6,Automotive,"Love this power probe 3. Takes the place of a light tester, multimeter, work light!!! It is the best thing since sliced bread, lol. Love this tool!! !",28,KB_00003,"Love this power probe 3. Takes the place of a light tester, multimeter, work light!!! It is the best thing since sliced bread, lol. Love this tool!! !"
CHILD_000004,KB_00004,REC_001,B003HV3WN6,Automotive,Good tool. Well designed. 20 foot leads allow you to work on trailers connections  very easily. The various tools work in manyapplications. Good video instructions on you tube.,28,KB_00004,Good tool. Well designed. 20 foot leads allow you to work on trailers connections  very easily. The various tools work in manyapplications. Good video instructions on you tube.
CHILD_000005,KB_00005,REC_001,B003HV3WN6,Automotive,"The power probe three is a great tool, I have had great success with the use of this tool to, find the solutions, and in record time to keep me competitive in my line of work, nothing else compares!",39,KB_00005,"The power probe three is a great tool, I have had great success with the use of this tool to, find the solutions, and in record time to keep me competitive in my line of work, nothing else compares!"
CHILD_000006,KB_00006,REC_001,B003HV3WN6,Automotive,When people say it is just a test light they are comparing apples to oranges. I am just a shade tree mechanic and I can say if you can get one get it. You can check out the electrical section at Realfixesrealfast.com and see it at work. just go to the video section. Hope this helps.,56,KB_00006,When people say it is just a test light they are comparing apples to oranges. I am just a shade tree mechanic and I can say if you can get one get it. You can check out the electrical section at Realfixesrealfast.com and see it at work. just go to the video section. Hope this helps.
CHILD_000007,KB_00007,REC_001,B003HV3WN6,Automotive,"There is no tool on the market that can help you find specific wires in a vehicle whether it be a boat, car, truck, motorcycle, etc. And the Powerprobe III has every feature you could imagine to help you accomplish that task. Highly recommended. I wouldn't work without one.",49,KB_00007,"There is no tool on the market that can help you find specific wires in a vehicle whether it be a boat, car, truck, motorcycle, etc. And the Powerprobe III has every feature you could imagine to help you accomplish that task. Highly recommended. I wouldn't work without one."
CHILD_000008,KB_00008,REC_001,B003HV3WN6,Automotive,"To find a break in a circuit, just test along the way till you lose the voltage. For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes! Power Probe's website has videos on how to use it cleverly, and I recommend you take the tutorial.",64,KB_00008,"To find a break in a circuit, just test along the way till you lose the voltage. For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes! Power Probe's website has videos on how to use it cleverly, and I recommend you take the tutorial."
CHILD_000009,KB_00009,REC_001,B003HV3WN6,Automotive,"I've owned this gizmo for a couple years now (started w/the Power Probe 2, then upgraded to the 3), and it has changed the way I approach automotive & RV electrical diagnostics. I look for tools that represent a real value, and am frequently disappointed, but not w/the PP3. This is worth every penny. The guys who designed this were really thinking about how you get diagnostic work done.",69,KB_00009,"I've owned this gizmo for a couple years now (started w/the Power Probe 2, then upgraded to the 3), and it has changed the way I approach automotive & RV electrical diagnostics. I look for tools that represent a real value, and am frequently disappointed, but not w/the PP3. This is worth every penny. The guys who designed this were really thinking about how you get diagnostic work done."
CHILD_000010,KB_00010,REC_001,B003HV3WN6,Automotive,"If you work on cars, you simply MUST HAVE this tool. I installed auto security for 15 years, and do not remember what I did before I owned this tool. Do not waste your time with anything else. It's nice to be able to hit a wire such as a trunk release, and be able to probe either polarity, and PULSE either polarity. The sharp probe is fine, but can be dangerous! If you work under dash's, these can easily stab your eye or back.",85,KB_00010,"If you work on cars, you simply MUST HAVE this tool. I installed auto security for 15 years, and do not remember what I did before I owned this tool. Do not waste your time with anything else. It's nice to be able to hit a wire such as a trunk release, and be able to probe either polarity, and PULSE either polarity. The sharp probe is fine, but can be dangerous! If you work under dash's, these can easily stab your eye or back."
CHILD_000011,KB_00011,REC_002,B0000E2PBX,Health_and_Personal_Care,"In closing I can truthfully say that one can get just as much effectiveness by inhaling deeply, exhaling through pursed lips with teeth inhibiting the flow of air. You can make this as easy or difficult as you wish and do it anywhere and at anytime. Approximately the same idea as the Ultrabreathe. I do both.",56,KB_00011,"In closing I can truthfully say that one can get just as much effectiveness by inhaling deeply, exhaling through pursed lips with teeth inhibiting the flow of air. You can make this as easy or difficult as you wish and do it anywhere and at anytime. Approximately the same idea as the Ultrabreathe. I do both."
CHILD_000012,KB_00012,REC_002,B0000E2PBX,Health_and_Personal_Care,After just my first session using this i felt it was easier to inhale and take in a full breath...,20,KB_00012,After just my first session using this i felt it was easier to inhale and take in a full breath...
CHILD_000013,KB_00013,REC_002,B0000E2PBX,Health_and_Personal_Care,"I chose this rating because I feel that the apparatus does help with lung exercises. However, I would have preferred an apparatus with a ball or several balls in the them, something visual where I can see what my efforts are accomplishing. Difficult to assess with the Ultrabreathe.",48,KB_00013,"I chose this rating because I feel that the apparatus does help with lung exercises. However, I would have preferred an apparatus with a ball or several balls in the them, something visual where I can see what my efforts are accomplishing. Difficult to assess with the Ultrabreathe."
CHILD_000014,KB_00014,REC_002,B0000E2PBX,Health_and_Personal_Care,"I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active. I can feel them working differently than they usually do, and it's quite a workout!It's analogous to the benefit that a really bulked-up football player gets when he stretches. Most of the time he's contracting his muscles, but it's important that he lengthen them, too.",79,KB_00014,"I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active. I can feel them working differently than they usually do, and it's quite a workout!It's analogous to the benefit that a really bulked-up football player gets when he stretches. Most of the time he's contracting his muscles, but it's important that he lengthen them, too."
CHILD_000015,KB_00015,REC_002,B0000E2PBX,Health_and_Personal_Care,"I got my Ultrabreathe a few weeks ago and started using it as part of training for the NY marathon. I found it easy to use. I could feel that my breathing muscles were working harder. After a few times, I learned to breath out slower so I wouldn't build up too much oxygen from the deep inhaling. My only complaint is that saliva drips out of the device. Not a big problem, but I wish it had some kind of containment system.",83,KB_00015,"I got my Ultrabreathe a few weeks ago and started using it as part of training for the NY marathon. I found it easy to use. I could feel that my breathing muscles were working harder. After a few times, I learned to breath out slower so I wouldn't build up too much oxygen from the deep inhaling. My only complaint is that saliva drips out of the device. Not a big problem, but I wish it had some kind of containment system."
CHILD_000016,KB_00016,REC_002,B0000E2PBX,Health_and_Personal_Care,"A buddy of mine who's training for SF told me about this thing to help me train for the Army APFT to help with my run time. I used it for about a week and a half in conjunction with my run training and I feel like it really did help me develop stronger, deeper and more consistent breathing. I'd recommend using it if you're doing cardio training. I've found it helps to use before a workout to get a good breathing rhythm.",83,KB_00016,"A buddy of mine who's training for SF told me about this thing to help me train for the Army APFT to help with my run time. I used it for about a week and a half in conjunction with my run training and I feel like it really did help me develop stronger, deeper and more consistent breathing. I'd recommend using it if you're doing cardio training. I've found it helps to use before a workout to get a good breathing rhythm."
