golden_id,record_id,asin,category,q_bucket,question_type,pipeline,k,question,gold_answer,evidence_doc_id,is_answerable,retrieved_doc_ids,retrieved_context,retrieval_ms
G_001,REC_001,B003HV3WN6,Automotive,medium,descriptive,bm25,10,Does this work on 12 and 24 volts system,[UNANSWERABLE],,0,"[""KB_00001"", ""KB_00010"", ""KB_00009"", ""KB_00005"", ""KB_00006"", ""KB_00003"", ""KB_00004"", ""KB_00002"", ""KB_00007"", ""KB_00008""]","[""I work in the automotive field and my coworkers turned me onto this tool. It's great and amazon has it at the best price anywhere."", ""If you work on cars, you simply MUST HAVE this tool. I installed auto security for 15 years, and do not remember what I did before I owned this tool. Do not waste your time with anything else. It's nice to be able to hit a wire such as a trunk release, and be able to probe either polarity, and PULSE either polarity. The sharp probe is fine, but can be dangerous! If you work under dash's, these can easily stab your eye or back."", ""I've owned this gizmo for a couple years now (started w/the Power Probe 2, then upgraded to the 3), and it has changed the way I approach automotive & RV electrical diagnostics. I look for tools that represent a real value, and am frequently disappointed, but not w/the PP3. This is worth every penny. The guys who designed this were really thinking about how you get diagnostic work done."", ""The power probe three is a great tool, I have had great success with the use of this tool to, find the solutions, and in record time to keep me competitive in my line of work, nothing else compares!"", ""When people say it is just a test light they are comparing apples to oranges. I am just a shade tree mechanic and I can say if you can get one get it. You can check out the electrical section at Realfixesrealfast.com and see it at work. just go to the video section. Hope this helps."", ""Love this power probe 3. Takes the place of a light tester, multimeter, work light!!! It is the best thing since sliced bread, lol. Love this tool!! !"", ""Good tool. Well designed. 20 foot leads allow you to work on trailers connections  very easily. The various tools work in manyapplications. Good video instructions on you tube."", ""I use this almost every day at work. It is a great tool made to the highest standard. All parts included are very high quality. Big time saver."", ""There is no tool on the market that can help you find specific wires in a vehicle whether it be a boat, car, truck, motorcycle, etc. And the Powerprobe III has every feature you could imagine to help you accomplish that task. Highly recommended. I wouldn't work without one."", ""To find a break in a circuit, just test along the way till you lose the voltage. For RV's or large trucks, the extra 20' extension lead means I can start at the front & work all the way to the rear even on 40' motorhomes! Power Probe's website has videos on how to use it cleverly, and I recommend you take the tutorial.""]",1.5388329993584193
G_002,REC_002,B0000E2PBX,Health_and_Personal_Care,long,descriptive,bm25,10,"The ball completely blocks air from passing by to get to my lungs, is this supposed to happen? Are you supposed to get NO air when inhaling? The instructions state ""inhale...until you feel your lungs are full"" but that doesn't happen with the ball completely blocking all air from passing into your mouth. thanks.",[UNANSWERABLE],,0,"[""KB_00020"", ""KB_00019"", ""KB_00018"", ""KB_00011"", ""KB_00013"", ""KB_00014"", ""KB_00017"", ""KB_00015"", ""KB_00012"", ""KB_00016""]","[""This item is worth the price. I had a sever bought of bronchitis and it has taken me forever to get my breath back . This item really gives your lungs a workout. I'm already starting to see some improvement."", ""I had heard about this method of exercising the lungs and have to say I am very impressed with the simplicity and yet the exceptional results in ony a few days. Amazing.Since we receive about 90% of our energy from oxygen this is much more valuable to humans than most would believe.Thanks"", ""I don't want to find out there's a recall and the fumes it gives off actually damages lungs. Makes me wonder what type of plastic is used. I really like the compact design so I will air it out for a while and hope that I can use it later."", ""In closing I can truthfully say that one can get just as much effectiveness by inhaling deeply, exhaling through pursed lips with teeth inhibiting the flow of air. You can make this as easy or difficult as you wish and do it anywhere and at anytime. Approximately the same idea as the Ultrabreathe. I do both."", ""I chose this rating because I feel that the apparatus does help with lung exercises. However, I would have preferred an apparatus with a ball or several balls in the them, something visual where I can see what my efforts are accomplishing. Difficult to assess with the Ultrabreathe."", ""I'm no doctor, so I'm only writing this as someone with breathing problems.Inhaling is mostly a passive function. So when you use this device, the muscles involved in inhaling are coaxed into being active. I can feel them working differently than they usually do, and it's quite a workout!It's analogous to the benefit that a really bulked-up football player gets when he stretches. Most of the time he's contracting his muscles, but it's important that he lengthen them, too."", ""I wish I had read the reviews before I purchased this item. It smells and leaves a weird taste in your mouth. It did help breathing but after 8 days i developed a very painful sore throat. I started to suspect the toxic smell and the vapors I was inhaling and quit using it immediately. I cut the mouthpiece off and trying to fix it so I can use it as the time has passed for me to return it. Don't use it with the mouthpiece as it may be toxic."", ""I got my Ultrabreathe a few weeks ago and started using it as part of training for the NY marathon. I found it easy to use. I could feel that my breathing muscles were working harder. After a few times, I learned to breath out slower so I wouldn't build up too much oxygen from the deep inhaling. My only complaint is that saliva drips out of the device. Not a big problem, but I wish it had some kind of containment system."", ""After just my first session using this i felt it was easier to inhale and take in a full breath..."", ""A buddy of mine who's training for SF told me about this thing to help me train for the Army APFT to help with my run time. I used it for about a week and a half in conjunction with my run training and I feel like it really did help me develop stronger, deeper and more consistent breathing. I'd recommend using it if you're doing cardio training. I've found it helps to use before a workout to get a good breathing rhythm.""]",6.414000003132969
G_003,REC_003,B004XMVZVY,Toys_and_Games,medium,descriptive,bm25,10,How many are in the pack??,There is only 1 in a pack.,KB_00030,1,"[""KB_00026"", ""KB_00025"", ""KB_00021"", ""KB_00024"", ""KB_00027"", ""KB_00022"", ""KB_00023"", ""KB_00030"", ""KB_00028"", ""KB_00029""]","[""We bought this to replace a previous Nerf Howler that had finally worn out. We bring this on vacation with us to the beach everytime we go. Not sure if it is meant for the water, but it seems to work great in the ocean or a lake. It is much smaller than a football and small children can throw it easily and far. Also works well in the wind and much easier to control than a frisbee on a crowded beach."", ""Who doesn't like to easily throw _anything_ 70+ yards! I've had a few of these over the years, and they keep getting better. Surprisingly durable. Anyone can pick it up and throw it much, much farther than they think. Easily. The whistling effect only makes it better, and quite frankly, makes it easier to hone in on to catch! Just as a heads up--the Nerf website says the MSRP is NINE BUCKS!"", ""when you throw at your friend you will hear the football whistling. light and durable. mine is already starting to come apart at the wings because hit the ground so much. but will not waist your money fun to play with."", ""it was a gift for someone else, he liked it. i think if the company makes them a littel bigger, closer to a regular size football the bigger kids can also enjoythem"", ""Was a great overall toy to play with, very fun but I wish the black part on the back was a little more durable, mine ripped and I had to glue it back with super glue, great overall toy though."", ""the kids love this thing. it really helps them figure out throwing form and it whistles. good size for kids and adults"", ""the football can throw really far but it has a very hard nose and hurts to catch it when it is thrown hard at all."", ""This made playing football on a 1/4 mile street WAY more fun. Not everyone can throw a football. I've never met anyone who can't throw one of these. When I had one as a kid it was called a vortex. Everyone had one and everyone loved em.I purchased this for a Non-Profits Toy Shop. Next year I plan on buying a case or 2. Gotta bring these back!"", ""This was great for my son for running around and he used it like a rocket ship rather than to play catch. He loves it."", ""This toy is great and I highly recommend it.""]",0.9822499996516854
G_004,REC_004,B0010WP46M,Electronics,long,descriptive,bm25,10,"Does the power adaptor work with international voltages? Basically want to know if the power adaptor will work overseas as well (220 V), and what the power output of that adaptor is (for eg. 5V DC at 500 ma?).",Yes. It supports 100V-240V,KB_00032,1,"[""KB_00032"", ""KB_00036"", ""KB_00031"", ""KB_00035"", ""KB_00039"", ""KB_00034"", ""KB_00038"", ""KB_00040"", ""KB_00037"", ""KB_00033""]","[""I spent a great deal of time on Amazon's website to look for digital photo frames. My requirements, were crisp picture, 7 inch screen, international power supply (110-220V), MP3 music playing during picture slideshow and below $70 USD. The Axion-9702 does it all. It came in a nice box (good gift), quality of product was great, and most important good decent pictures. The product is made in China but show me one that is not."", ""I bought this as a Christmas gift and it never worked at all. Would not even power on. Very sad and embarrassing. I wish I had spent the money on a more reliable name brand."", ""I got this frame for free, so I can't complain about the price. Now that I have it, I know that I wouldn't buy it.The remote is cheaply constructed and the battery doesn't sit well in it. To make it work I have to not only squeeze the right button, but squeeze the battery compartment to ensure a contact. Even then, it doesn't always work.Occasionally the frame forgets that I have a USB drive in it and starts to cycle through the stock photos it came with."", ""Most users in the reviews seem to be pretty much in the know of what they are doing and I trust their opinions on the CONS of this device. I'd strongly recommend taking the time and purchase one at WalMart."", ""Bought this for a gift...it worked pretty well right out of the box. The resolution isn't excellent, and the navigation's a little rough, but it does come with a remote. All in all a stylish frame for a cheap price so it's worth what you pay for it and not much more..."", ""Got it as a gift - excellent purchase!Love all the features too...you get to add music to each picture if you want :-)"", ""At first I was quite disappointed with the image quality, but after comparing it with more expensive digital picture frames, i have concluded that this is  good value for the money. The remote is handy and it works quite well."", ""And also comes with a remote and extra ports compatible with many digital cameras as well as the trusty USB port that I mentioned above. All-in-all... This is a great product and I would recommend it to anyone. 5 Stars! !"", ""The Axion 7\"" Digital Picture Frame is a real deal if you consider what you are getting for the money:* Good Size Display* Fairly Clear Display* MP3 Support (works well!"", ""I made sure that it was not, it was planted very firmly onto my desk. But one day I came to work and my co-worker said that it just went out. I know it is my backlight because I can still see the photo's scroll across but they are VERY dark I can barely see it. I would return it but 1. my husband bought it and 2. I've already had it for a little over a month now and you cannot return it after so long.""]",5.983542003377806
G_005,REC_005,B0012YKLSE,Home_and_Kitchen,medium,descriptive,bm25,10,What are the measurements for this item?,[UNANSWERABLE],,0,"[""KB_00041"", ""KB_00042"", ""KB_00044"", ""KB_00050"", ""KB_00047"", ""KB_00046"", ""KB_00045"", ""KB_00049"", ""KB_00043"", ""KB_00048""]","[""I should have read the reviews.This product does not do a very good job of protecting your sink because the silverware easily falls between the slots and this item is very flimsy."", ""this is a simple sink rack that is fully functional, easy to clean and an excellent value. While there are heavier gauge products available, this does the trick for us."", ""one of the welds broke on this sink protector less than a month after i bought it. sadly, it seems to be the only one out there that fits my particular sink (a large, single bowl elkay model). it was cheap - but you get what you pay for, i guess."", ""We love this product. We bought our first one three years ago and it has lasted this entire time without any problems or issues. We are ordering another one while they're still available, not because the one we have needs replacing. Now that we know they last for a very long time we want to make sure we have a replacement on hand as this was the only one we could find that was big enough for our sink! LOVE it!"", ""i replaced a simplehuman rubber mat that had gotten disgustingly moldy with this. was a little concerned with the reviews about it breaking, but ive had mine for over a year now and have had absolutely no problems with it. fits nicely into the oversized sink in the old house that im renting. doesnt scratch up the sink since the feet are covered. looks clean and doesnt hide any gunk, easy to scrub, and has held up to me putting an assortment of pots and pans on top of it."", ""i was glad to find this extra large sink protector for use in our new kitchen. It protects both the sink and the dishes in our new sink that is more than 25 inches wide. The unit is sturdy and easy to keep clean."", ""it fit my sink perfectly, looks great, but most importantly it can withstand tons of weight without breaking. i have a 1-piece rectangular deep sink, therefore, i can fit way more dishes in my sink than a regular 2-part sink. i had my sink full to the brim (with pots in there too) and this guy here, held up really well. no problems with it breaking."", ""Your product works perfect for my large sink. Thank you for selling this larger size on amazon as not found locally"", ""thanks for an affordable, great quality product + fast shipping!"", ""[Update 1/2011 - Noticed being sold by a different company now.]""]",1.3131660016370006
G_006,REC_006,B004OFOT72,Sports_and_Outdoors,long,descriptive,bm25,10,hi does anyone know if it will take a scope and could you hunt bull frogs with it if you wanted to,"The crossbow comes with a scope of its own, and if sighted in properly you could probably hit a bull frog",KB_00060,1,"[""KB_00051"", ""KB_00056"", ""KB_00057"", ""KB_00058"", ""KB_00059"", ""KB_00055"", ""KB_00052"", ""KB_00054"", ""KB_00060"", ""KB_00053""]","[""Also, the firing mechanism jammed. So, even if you could get the string back to load it, the firing mechanism is jammed and won't take it. My son was devastated. Looking for a new one now."", ""She is in the process of purchasing a new string (100lbs).Another issue was the scope. It came in the shipping box along with the box that the bow was in. It does not have any instructions on how to put it on, nor does it come with any tools to do so."", ""Love the crossbow! Came as advertised everything it said it would come with was there and nicely packaged. It will definitely take down a deer and you can't beat the craftsmanship of the bow for the price. Very pleased with it overall. Super easy to put together and string and it is for sure 150lb draw. I ordered it and paid a grand total of $111.99 (cost with 1-3 day expedited shipping) and received it 2 days after placing my order."", ""I bought the crossbow for my husband for a surprise for hunting this year it came in early packed very good. It didn't have very good instructions on how to assemble but it was easy to figure out. It was sent with a scope but my husband didn't put it on it because you wouldn't have good vision through it later in the evening."", ""I purchased the 150 Lbs Camo Crossbow with Scope and Arrows for my husband for hunting season. He loves it and it works great! It was a great buy for the price and it came with some arrows. The only negative feedback was that the crossbow string was pretty difficult to get on, but other than that, we have no complaints about this crossbow!"", ""Seems good. scope is small and for air rifles. It isnt the camo one it the picture at all. It is wood and black metal but seems sturdy."", ""Additional issue is serious safety concern regarding retension of cocking string at rear of metal trigger housing-there is not one on the xbow! A quick fix would be to file a groove at the rear of this metal housing OR do as I did a buy a longer cocking string and load from the shoulder plate of the stock. The scope had to be replaced as it could not be sighted-in to hold any sort of consistent shooting pattern."", ""I would have given this 5 star if it wasn't for the instructions, someone that doesn't know anything about crossbows might need assistance assembling it."", ""good starter crossbow for target practice/sport/small game, not sure if it will do good for large game hunting?? must stock up on bolts and strings  also....not a bad investment tool is a Crossbow Double Handle Cocking Device"", ""Just what my son wanted. We have been looking for a bow for a while and this one was a great value and great quality.""]",2.9847499972674996
G_007,REC_007,B005XUNG5I,Health_and_Personal_Care,short,descriptive,bm25,10,what is the power source?,"Batteries, but I found it to be weak.",KB_00064,1,"[""KB_00062"", ""KB_00067"", ""KB_00064"", ""KB_00070"", ""KB_00065"", ""KB_00066"", ""KB_00068"", ""KB_00069"", ""KB_00061"", ""KB_00063""]","[""Needs more power I find the engine does not have enough grunt for my liking."", ""At this point I wish I'd have paid the extra to get one with a power cord.Please note that the replacement cartridges are NOT cheap but the durability seems good."", ""I was disappointed with this. Doesn't have enough power or battery life. I do however like being able to rinse the cylinder when needed."", ""It's not!!! Don't buy this version. Buy the one before this!! The other version has a better grip and gets to your calluses much better than this one. The sanding power is also different on this one and not nearly as effective. The other micro-pedi is absolutely amazing and I WILL buy it! Its an amazing product!"", ""This workers wonders. The batteries last and it has power. Makes my heels feel so soft. I can wear saddles again and do not need to smoother my heels in Vaseline."", ""This product works well overall and the fact that it doesnt have blades makes it a lot safer than other products out there.However it is a little short on power, could be stronger"", ""Works great, smart design, easy to clean and seems rugged to last. Glad it doesn't have more grinding power; it would be too much against my skin. It seems to do its work fast all the same. Already seeing huge results. Very happy with the product and my purchase."", ""It works great on my scaly heels. It has enough power to do the job and about once every month or two I can quickly and easily get rid of my scaly, cracked looking heels. This really works good. So glad I bought it."", ""It is ok but if it was electric it would of been better. To me it could have more power"", ""My feet get calluses that crack and hurt. This thing sands them down in no time. Has good power and so far it's great!""]",0.9247499983757734
G_008,REC_008,B002LAS5TU,Home_and_Kitchen,long,descriptive,bm25,10,"Does the lids fit on the pans also? For example, does the large pot lid fit on the large pan?",The largest ps. Is the only one that a lid doesn't fit. This is a great set for the money,KB_00072,1,"[""KB_00072"", ""KB_00073"", ""KB_00074"", ""KB_00079"", ""KB_00071"", ""KB_00080"", ""KB_00078"", ""KB_00077"", ""KB_00076"", ""KB_00075""]","[""I love these pans. The fry pans do not come with lids, but most lids are interchangeable for these pans. Nothing sticks to them! They are very easy to wash. They heat evenly. I have ordered more. This seller also gets the product out quickly."", ""One of the pot cover did not fit properly.Can't believe the handle fell off after a  month. I would not recommend."", ""I first discovered the Ecolution Artistry pans in my local grocery store. At that time, I was in need of a griddle pan, so I decided to purchase theirEcolution Artistry 11\"" Griddle. I was attracted to the eco-friendly non-stick coating on these pans--they use a water-based, Hydrolon non-stick coating rather than traditional Teflon/PFOAs--and I admit, I also loved the cute green flower pattern on the bottom!"", ""I've had these pots and pans for 2 years and am just now seeing wear in my most used pan. I cook every night! I plan on ordering another set to use to slowly replace mine as they age. I love Teflon pans but hate the chemicals. These are the perfect alternative for those concerned with providing safe meals for our families."", ""I haven't used my set very long yet, but they cook well so far, have a comfortable handle and  I love the glass lids which seem to have a good fit. They are also very easy to clean. I have been buying additional pieces to add to the original set of 8 . The box says that they can be washed in the dish washer but I hand wash them like I have done others in the past. so far....so good!"", ""We registered and received this set as well as the colassus pan as a wedding present in April. We bought a house with a glass top electric oven. Having our kitchen products be earth friendly is very important to me. Before use, I followed the directions and seasoned each pan. I have already had to re-season my pans at least three times and that is with using non-stick sprays when cooking."", ""A little common sense goes a long way in taking care of anything. They are not heavy but the bottom is thick enough to give good heat distribution and the little stainless ring around the bottom helps with that also. I can recommend this set as a good mid priced set. Using plastic utensils will help preserve the finish as with any of the nonstick pans."", ""I love this set. Is it perfect. I hate when sets come with too much crap that just isn't needed. This set is the first real non-stick I've seen. Pans are great size so no need to buy an extra bigger pan."", ""I have used these pans daily for about  3 months and they are already showing signs of frequent use. Also, I only use wooden utensils and I always hand wash after I use them. They might last another couple months before the coating starts to peel and they have to be replaced."", ""Not spectacular. Not bad. Pretty decent little set of pans.I wish there was one slightly larger lid - but hey - no biggie.""]",2.54424999729963
G_009,REC_009,B00AR1A7ZU,Pet_Supplies,long,descriptive,bm25,10,How big is the part that actually goes in the tank? I'm trying to figure out if it will fit in my (very small) sump.,[UNANSWERABLE],,0,"[""KB_00089"", ""KB_00088"", ""KB_00083"", ""KB_00082"", ""KB_00085"", ""KB_00084"", ""KB_00086"", ""KB_00087"", ""KB_00081"", ""KB_00090""]","[""I love this thing. It came off highly rated from others and I see why. I started out putting a little water in the tank every few days, now I just keep a bucket filled up and this keeps my tank at the exact right height. I also put kalkwasser in the bucket so it drips it in to help with calcium, magnesium and PH. Hasn't failed."", ""I picked this up for my 30g cube tank and has come in handy from the start. It was easy to setup and works like a charm. I just drop the pump/sensor into a 5gal container with RO water and it keeps my tank filled to the exact mark I want and keeps the protein skimmer working perfectly."", ""Very easy to install. Simple attach the float sensor at the level of water with the strong magnets, drop the quiet and demure pump into you water top off container of your choice, plug it in, and you are off to the races! Why did I not get one of these months ago!?! ?Keeps a stable water level in the return chamber of my 20 gallon sump. I use a 5 gallon water transporting jug."", ""The biggest drawback to this unit is that it only has a single float switch sensor. Any minimal swell in my sump would kick the pump on, and off, and on, and off....all day and night. I replaced this unit with the 3155 with dual sensors, and have been much more pleased with performance."", ""Pretty easy to setup and works as stated. I have a 5 gallon container under my tank that i fill up probably once every 1-2 weeks that it takes the RODI water from. Good quality German product."", ""Simple design and very effective. I like the auto shutoff feature that prevents pump damage or overflow of tank. This made tank maintenance so much better. BUY ONE!"", ""This thing is a life saver!! Very accurate and easy to install. I was using a dosing pump before, I can't believe I waited this long to buy one of these. By far the best investment I've made for my tank."", ""This makes my life so much easier. My rimless 30 gallon tank loses almost 5 gallons of water through evaporation each week. Topping off with a bucket drove me nuts, now I can keep the bucket underneath the stand and my tank water level stays just where it should."", ""No more coming home to my return pump inhaling all that air. Works great for my 55 gallon with 10 gallon sump."", ""Works perfectly! I've had it in use in my JBJ 30RL for almost a year with no issues. What more could you ask for?""]",3.24949999776436
G_010,REC_010,B000GU3KHO,Automotive,long,descriptive,bm25,10,I have a Harley Dyna Switchback with windshield and saddle bags.  Is the XL the right size for me?,[UNANSWERABLE],,0,"[""KB_00091""]","[""Comes with a neat holding bag that it wraps up into relatively easily. A size XL fits my '94 Honda CB1000 without a windshield perfectly.""]",2.2840000019641593
