table,objective_or_scenario,pipeline,k,value,meaning_or_reason
objective,Best answer accuracy (F1),BM25,10,0.139,Closest word overlap with the gold answers
objective,Most correct answers,BM25,5,67 of 200,Largest number of fully correct answers
objective,Best faithfulness,BM25,10,0.689,Answers most supported by the retrieved reviews
objective,Best context precision,Dense,3,0.704,Retrieved chunks least diluted by noise
objective,Best context recall,Hybrid,10,0.606,Most of the needed evidence retrieved (tied with Parent-Child)
objective,Best answerability balance,BM25,5,0.735,Best at answering the answerable and refusing the rest
objective,Lowest hallucination,Parent-Child,10,0.079,Fewest confident but unsupported answers
objective,Best evidence coverage (Recall@K),BM25,10,0.897,Most gold evidence found in the retrieved set
objective,Fastest response,Sentence Window,3,310 ms,Lowest average latency per question
scenario,Best all-round default,BM25,10,,Strongest balance of accuracy faithfulness recall and speed
scenario,Speed-sensitive product pages,BM25,5,,Near-best safety and accuracy at a lower depth with fast response
scenario,Richest answer quality,Hybrid,5,,Best F1 (0.136) and faithfulness (0.686) at a single fixed depth
scenario,Lowest risk of wrong claims,Parent-Child,10,,Lowest hallucination rate best where a false claim is costly
scenario,Mixed or unknown product types,Hybrid,5,,Most stable choice across product categories
scenario,Long detailed questions,BM25,10,,Strongest on long questions more keywords available to match
scenario,Short factual questions,Sentence Window,1-3,,Focused sentence-level evidence and the fastest setting
