golden_id,record_id,asin,category,q_bucket,question_type,pipeline,k,question,gold_answer,evidence_doc_id,is_answerable,retrieved_doc_ids,retrieved_context,retrieval_ms
G_001,REC_001,B00E7LVBCE,Electronics,medium,descriptive,pc,1,My computer is DVI-I.  This monitor is DVI-D.  Is it compatible?,[UNANSWERABLE],,1,"[""KB_00001""]","[""Excellent. I wanted a monitor to connect to my laptop. I am enjoying with my new dell monitor good.It has both VGA and DVI options. Would have given 5 rating if the VGA cable was of good quality. Its of very poor quality.""]",108.87612495571375
G_002,REC_002,B008N7CCJY,Electronics,medium,descriptive,pc,1,Can I use this for my android tablet in the car,"Dear Ann I do not own a tablet,however the purpose of this transmitter is to broadcast a signal thru your car stereo from outside devices, when you carstereo does not have an 3.5mm cable port this is a substitute.So if you are planing to play music thru your tablet ( AND ) if your tablet has a ear phone jack then yes it should work",KB_00016,1,"[""KB_00015""]","[""I just got this for my wife's car so we could listen to music from our phones. We used to use a tape deck adapter but the tape deck in her car just stopped working, so I got this.""]",27.02070795930922
G_003,REC_003,B008VGQ4VO,Electronics,long,descriptive,pc,1,"Can anyone provide the cord length? My CPU is under my desk, and most earbuds only provide about 4', which is too short.",[UNANSWERABLE],,1,"[""KB_00021""]","[""the sound is great if u are not moving. good for desk work or laying in bed listening to music. the cords DO make a noise when u move them. when i called klipsch to ask about the noise they said they never heard of that before. i doubt that but will be returning them more than likely. also they short out easily if ur ears get sweaty.""]",28.32166594453156
G_004,REC_004,B00C53831I,Electronics,medium,descriptive,pc,1,Will These Work In My Dell Optiplex GX 620sff?,"Yes, they should work on your Dell Optiplex 620. I have a desktop of that vintage and these modules worked on mine. Here's a suggestion: Go to Crucial.com and take advantage of their memory scanner-----this will verify the kind of memory modules your computer needs-----this doesn't commit you to buying theirs.",KB_00033,1,"[""KB_00033""]","[""One needs to be careful in buying memory modules without the advice of the makers of these modules. If you know the exact nomenclature of the description (by a little research) of the modules you need, then it is safe to purchase same. These modules were just what I needed to expand the memory on my Dell desktop computer. Easy to install and ran my memory stress tests with no errors. A good buy at a bargain price.""]",27.206624974496663
G_005,REC_005,B006YVFGAS,Electronics,medium,descriptive,pc,1,Would I need to still buy a converter box for this antenna?,"Depends on your display monitor or TV. It needs to have a tuner built in to the display to go without a converter box. If it's an old heavy box CRT TV you will probably need a converter box. If it's a newer LCD TV than you probably don't. In a nutshell, your monitor or TV needs to be able to receive ATSC signals.",KB_00041,1,"[""KB_00041""]","[""I was a little worried that this antenna would be a waste of money, but I was wrong. After years of pixelation and moving my old rabbit ears around to try to get stations, I wanted to try something better. I have this going in to a digital converter box as I still have a tube TV. After messing around with the placement, I get more channels than before and I no longer have to worry about if where I sit in the room will affect my reception. Very good antenna!""]",32.04866696614772
G_006,REC_006,B00CGW74YU,Electronics,long,descriptive,pc,1,It appears to be an elastic band around the middle part of the lens. OUESTION: will this band interfere with the lens when  auto focusing?,[UNANSWERABLE],,1,"[""KB_00053""]","[""I love this product. The band fits great around the lens. No more worrying where to put the lens cap!""]",9.545500040985644
G_007,REC_007,B004HW6F9M,Electronics,medium,descriptive,pc,1,Do you need an amp for it?,Yes you do need an amp for it. I suggest pairing it with a pioneer digital amp. I have 2 of these In my TDI golf 2013 and they save so much space but have higher decibel readings then some of the extensive setups my friends have installed so far.,KB_00061,1,"[""KB_00061""]","[""i read all the reviews before i bought this and didnt see many bad ones. but i had to hear for myself. all i can say is holy crap. this thing is so small and sounds so huge. i have it in a 07 saturn vue running it with a pyramid 1000watt artic amp. if you need space and huuuuge sound buy this. buy it now!!!!!!!! !""]",29.631374985910952
G_008,REC_008,B00CAN8ETE,Electronics,medium,descriptive,pc,1,Has any one tried this with any car stereo 30-pin adapters?,It works with most 30 pin adapters. There are a get radios however that will not use the same protocol and do not work with the NAXA,KB_00072,1,"[""KB_00076""]","[""This thing never connected to any of my docks or with my car's 30pin cable. I sent it back and ordered the ViseeO Tune2Air WMA1000 which is more expensive, but works perfectly with every device I have and connects instantly in my car for A2DP Stereo Bluetooth music. Do yourself a favor and spend the extra money to get the ViseeO.""]",30.76254203915596
G_009,REC_009,B0013V3CQY,Electronics,long,descriptive,pc,1,Can this be connected to a laptop anyway to record if so what do I need if not what will I need to get,"Yes, mine is hooked up to a lap top via an EasyCAP DC60 - USB 2.0 Audio/video Creator Capture High-quality Analog Video and I use a software video capture program to record to the hard drive, however its tedious and I reccomend getting aZmodo PKD-DK4216-500GB H.264 Internet & 3G Phone Accessible 4-Channel DVR with 4 Night Vision Cameras and 500 GB HD for about 100 bucks more for easy recording of surveillance video.",KB_00086,1,"[""KB_00086""]","[""It views everything in a black and white picture, but does still have a picture whereas most cameras would just show black.3) The camera can and will record if and only if you hook it up to a VCR, DVD recorder, or some other recording device that works with AV cables.""]",25.749500025995076
G_010,REC_010,B004JKBVBY,Electronics,long,descriptive,pc,1,Polaroid GL10 PC Driver Does anyone know if Polaroid has issued a printer driver for PC (Win 7) to allow printing on the GL10?I have emailed the Polaroid Customer Contact with no reply.The product instructions say to contact poloriod.com for the software.  I can't find it on that site.Thanks.,"You have to go to, http://www.polaroid.com/en/greylabel and drag the large gray slider bar at the bottom of the page about half way to the right. There you will find links to the Android App, Mac, 32bit and 64bit Windows versions.",KB_00091,1,"[""KB_00096""]","[""The first printer I got was DOA. Would not power up or connect no matter what I did. No help files, FAQ, drivers, anything really on Polaroid's page. So, I used Amazon's great return policy and just ordered a new one. 2nd one worked fine. But the instructions say \""get the GL10 application\"". OK, where? I had to do some searching to find how to get to the link. Just bad support/design, in my opinion.""]",35.56829201988876
G_011,REC_011,B00CVK49LI,Electronics,medium,descriptive,pc,1,How can I order this case in Italy? Help me please.,[UNANSWERABLE],,0,"[""KB_00101""]","[""Great product! The color and contrast of the case looks really nice and it fits on the laptop well. The case snaps onto the laptop sides, the bottom one seems to be more sturdier though. Would definitely buy another one if I ever needed it (or maybe a different color). Very happy with the product.""]",32.73375006392598
G_012,REC_012,B0045ZZKOM,Electronics,medium,descriptive,pc,1,Will this work with a D3200??,[UNANSWERABLE],,0,"[""KB_00115""]","[""Makes my pictures looks great. I have D7000 and fits perfectly and plus the kits great... so you dont need to buy anything else cuz it's included. Easy to use too, i'm a newbie in this ... quite easy to figure it out, if not.. it's always google it to find the answer.""]",26.986957993358374
G_013,REC_013,B007KMFXZ8,Electronics,medium,descriptive,pc,1,how to add a new genre,[UNANSWERABLE],,0,"[""KB_00122""]","[""No resume, which means if you stop in the middle of a recording and then go back to watch you have to find where you left off. Like taking a bookmark feature out of a book, ridiculous. But typically, new improved isn't always improved. And we lose the ability to rename a recording. That made no sense.""]",26.050375076010823
G_014,REC_014,B00009R95W,Electronics,long,descriptive,pc,1,Difference between Hoya 58CIR or Hoya HMC ? Trying to decide between the regular Hoya Circular Polaraizing Filter or the HMC. Does the more expensive HMC give that much better results to justify the price?,"Yes it does.  I would never consider using a non-multi-coated filter on a digital camera.  The reason is simple.  The sensor has a flat glass protecting it (called a low-pass filter - LPF).  Some light will bounce off the LPF and head out the lens.  Since lens elements are multi-coated and curved, very little light will reflect back to the sensor.  But since the front filter IS flat, you can get a lot of light bouncing back.  If you use a non-coated, or single-coated filter, you get a lot of light reflected back into the sensor.  This shows up as a loss of contrast (veiling flair) or as ghosts and hot spots.  Multi-coated filters are designed to reduce this effect, but cannot eliminate it.  This is a real problem when you shoot into a light source.When shooing into a light, ANY filter will degrade the image.  Multi-coated filters are much better, though.",KB_00132,0,"[""KB_00130""]","[""I have used both a cheap no-name circ-polarizer but it is was not even worth the shipping price. The threads on the knock off were rough and the adjustment ring difficult to turn. The Hoya is of a much higher quality. It adjusts with ease and threads onto your lens very smoothly. The filter is clean with zero imperfections. Highly recommended.The only improvement I would like to see is a mark on the adjustment filter for reference.""]",30.936833005398512
G_015,REC_015,B008A4H67I,Electronics,long,descriptive,pc,1,"Is this compatible with the new dell inspiron 11 3000 series, the 2-in-1?",[UNANSWERABLE],,0,"[""KB_00136""]","[""This is sturdy, easy to use and a pretty color. You will need a tiny Philip's screwdriver to set your combination but after that it is really a good accessory to have if you use your laptop in public. No one wants to have to pack everything up and lose that prime spot in Starbuck's with the wide table and outlet just to go to the bathroom. It's a great deal.""]",22.031000000424683
G_016,REC_016,B004R7A9NU,Electronics,medium,yesno,pc,1,does it work for ipad 4,Yes it does indeed! I have the ipad 4 and its fits it perfectly,KB_00148,1,"[""KB_00148""]","[""I have an iPad 4 and this case fits perfect. Nice looking at a reasonable price. Very happy with this case.""]",12.167999986559153
G_017,REC_017,B002PWHOYG,Electronics,medium,yesno,pc,1,will it position for a vertical shot?,Absolutely. The ball flips the camera on its side.,KB_00149,1,"[""KB_00149""]","[""It took me a little while to get a good operating process down when using the head but I am now able to use it with ease. The head does a good job of holding my Canon 40D in place when in the vertical position. I have a Manfrotto tripod that has a center column that can be place in a horizontal position and have have put my camera in this configuration looking down on an object I was photographing.""]",11.267125024460256
G_018,REC_018,B003L75CUC,Electronics,medium,yesno,pc,1,I've got a nikond90 qith a 18-200 lens (72mm) will it fit?,"Yes, it'll fit.",KB_00167,0,"[""KB_00161""]","[""The case fit by Nikon d7100 camera and was water tight. The problem is that in order to adjust the focus or distance, you have to remove the front cover...which defeats the purpose of it being water tight!. Basically it became a waterproof storage case rather than actually taking pictures with it""]",44.67158403713256
G_019,REC_019,B000GPHQWO,Electronics,medium,descriptive,pc,1,Does this lens fit on a Canon EOS Rebel T3i?,"I am positive that it will fit on Canon EOS Rebel T3i. This camera uses Canon EF Lenses. And this Sigma lens was designed with the same mount as the Canon's EF mounts. Just make sure you buy the one for Canon, and you should be fine.",KB_00170,1,"[""KB_00185""]","[""I used the lens on a Canon 7D.""]",11.501124943606555
G_020,REC_020,B002TV5M5G,Electronics,long,descriptive,pc,1,I have an Edge 15 330M ..Is this the correct battery and is it made by Lenovo?,[UNANSWERABLE],,1,"[""KB_00193""]","[""After a week of using this battery, the bios of my Lenovo, before loading Windows, started saying that I wasn't using a genuine Lenovo battery and that Lenovo cannot guarantee the performance of the battery. Sure does look genuine.""]",32.19887497834861
G_021,REC_021,B003YLZ8J0,Electronics,medium,descriptive,pc,1,Are there actually five programmable buttons? How are they programmed?,Yes they're are 5 programmable buttons but I only programmed in for video games.,KB_00219,1,"[""KB_00220""]","[""The programmable buttons are backwards.""]",10.120082995854318
