record_id,qid,asin,category,source_file,question,question_type,answerability,candidate_answers,golden_answer,evidence_text,evidence_doc_id,selection_method,needs_judge,golden_id
REC_001,14414,B003HV3WN6,Automotive,train,Does this work on 12 and 24 volts system,descriptive,0,"[{'text': 'I have only used in 12 volts systems.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes it works on 24 volt systems', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'yes.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes, it works on any voltage including and between 12-24VDC.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",I have only used in 12 volts systems.,,,jeffreys,True,G_001
REC_002,16601,B0000E2PBX,Health_and_Personal_Care,train,"The ball completely blocks air from passing by to get to my lungs, is this supposed to happen? Are you supposed to get NO air when inhaling? The instructions state ""inhale...until you feel your lungs are full"" but that doesn't happen with the ball completely blocking all air from passing into your mouth. thanks.",descriptive,0,"[{'text': 'No, it is not supposed to completely block the air. Use the adjustment knob in the center to control the amount of air you would like to inhale. Loosen for more air, and tighten for less air. Very simple.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Follow the instructions, make sure you are leaving enough open space where the little arrowhead is on the tube.  Also take the mouthpiece off after each use and rinse the entire gadget and/or swish it in some soapy water to monitor bacterial growth.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The end piece controls the amount of click noise you get and has some effect on the air flow.  But the center adjustable collar adjusts from totally off to wide open (all the way out). Start with the center adjusting collar back off and the end so you can feel the click.  Then each week adjust the center collar in a half turn until you have it near shut off. By that time your diaphragm will be supper strong.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","No, it is not supposed to completely block the air. Use the adjustment knob in the center to control the amount of air you would like to inhale. Loosen for more air, and tighten for less air. Very simple.",I don't want to find out there's a recall and the fumes it gives off actually damages lungs. Makes me wonder what type of plastic is used. I really like the compact design so I will air it out for a while and hope that I can use it later.,KB_00018,grounded_pick,True,G_002
REC_003,19949,B004XMVZVY,Toys_and_Games,train,How many are in the pack??,descriptive,0,"[{'text': 'just 1', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There is one Nerf Vortex Howler per box. They are a little bit bigger than they appear in the images.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There is only 1 in a pack.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",just 1,,,jeffreys,True,G_003
REC_004,40866,B0010WP46M,Electronics,train,"Does the power adaptor work with international voltages? Basically want to know if the power adaptor will work overseas as well (220 V), and what the power output of that adaptor is (for eg. 5V DC at 500 ma?).",descriptive,0,"[{'text': 'I would like to ask the same question because I want to buy it as a gift for my friends in China. Appreciate the manufacturer or user can answer us.  Thanks.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Yes.  It supports 100V-240V', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",I would like to ask the same question because I want to buy it as a gift for my friends in China. Appreciate the manufacturer or user can answer us.  Thanks.,Got it as a gift - excellent purchase!Love all the features too...you get to add music to each picture if you want :-),KB_00034,grounded_pick,True,G_004
REC_005,43101,B0012YKLSE,Home_and_Kitchen,train,What are the measurements for this item?,descriptive,0,"[{'text': '2 ft (24"") long by 1 1/2 ft 12.5"" wide, this product is great you won\'t be disappointed.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""12 1/2 inches by 24 inches. Most sinks are not flat. They are pitched towards the drain. You will have to shape(bend) the sink protector to fit the contour of the sink bottom. It's fairly easy. The protector is flat but bendable."", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': '12 1/4 in. wide X 24in. long', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': '2 feet x 1 foot', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","2 ft (24"") long by 1 1/2 ft 12.5"" wide, this product is great you won't be disappointed.",,,jeffreys,True,G_005
REC_006,78139,B004OFOT72,Sports_and_Outdoors,train,hi does anyone know if it will take a scope and could you hunt bull frogs with it if you wanted to,descriptive,0,"[{'text': ""yes it will take a scope but i think this cross bow is a tad over kill to hunt for frogs??? I don't hunt frogs but if I had to, I would defiantly use a lower draw, but that's just me, of course check your state law's for hunting Frogs in your state. Good luck happy hunting"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'The crossbow comes with a scope of its own, and if sighted in properly you could probably hit a bull frog', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","yes it will take a scope but i think this cross bow is a tad over kill to hunt for frogs??? I don't hunt frogs but if I had to, I would defiantly use a lower draw, but that's just me, of course check your state law's for hunting Frogs in your state. Good luck happy hunting",I bought the crossbow for my husband for a surprise for hunting this year it came in early packed very good. It didn't have very good instructions on how to assemble but it was easy to figure out. It was sent with a scope but my husband didn't put it on it because you wouldn't have good vision through it later in the evening.,KB_00058,grounded_pick,True,G_006
REC_007,120053,B005XUNG5I,Health_and_Personal_Care,train,what is the power source?,descriptive,0,"[{'text': 'Batteries, but I found it to be weak.', 'helpful': 2, 'unhelpful': 0, 'total': 2, 'jeffreys': 0.8333333333333334}, {'text': 'This is a battery powered device, common AA.  Despite this, there is more than enough power to perform a fine job of callous removal.  You must follow the directions related to NOT pushing hard on the device.', 'helpful': 2, 'unhelpful': 0, 'total': 2, 'jeffreys': 0.8333333333333334}, {'text': 'It uses 2 ""AA"" batteries, not included.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Battery operated', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I have the earlier model but it uses 2AA batteries', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'You use 2- AA batteries.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Batteries, but I found it to be weak.",It is ok but if it was electric it would of been better. To me it could have more power,KB_00061,grounded_pick,True,G_007
REC_008,178137,B002LAS5TU,Home_and_Kitchen,train,"Does the lids fit on the pans also? For example, does the large pot lid fit on the large pan?",descriptive,0,"[{'text': 'Yes the lids are great for the pans. The large pot lid fits the smaller pan, for some reason there is no lid for the large pan.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""yes, it's not a tight fit but it fits more or less."", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""The largest ps. Is the only one that a lid doesn't fit. This is a great set for the money"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': ""The large pot lid fits the smaller pan. I've had these pans for almost 2 years now. They are the best I've ever owned. We've tried the Paula Deen and other brands but these ones are awesome!"", 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'Very good. Good price.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]","Yes the lids are great for the pans. The large pot lid fits the smaller pan, for some reason there is no lid for the large pan.",I love this set. Is it perfect. I hate when sets come with too much crap that just isn't needed. This set is the first real non-stick I've seen. Pans are great size so no need to buy an extra bigger pan.,KB_00077,grounded_pick,True,G_008
REC_009,194120,B00AR1A7ZU,Pet_Supplies,train,How big is the part that actually goes in the tank? I'm trying to figure out if it will fit in my (very small) sump.,descriptive,0,"[{'text': 'Float switch housing is about 1.25 inches to 1.5 inches across.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': ""It's a 3 inch around tank cannot have a lip  on it"", 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'its about the overall size of dollar coin with a depth of a inch', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}, {'text': 'The piece that goes into the tank, is only about the size of a quarter. Not big at all. That will send a signal down to the box to turn on the top off water, and that runs from a holding tank with a small gauge tube into the tank.', 'helpful': 1, 'unhelpful': 0, 'total': 1, 'jeffreys': 0.75}]",Float switch housing is about 1.25 inches to 1.5 inches across.,,,jeffreys,True,G_009
REC_010,243248,B000GU3KHO,Automotive,train,I have a Harley Dyna Switchback with windshield and saddle bags.  Is the XL the right size for me?,descriptive,0,"[{'text': 'If your windshield is LARGER than standard then yes but if its standard you should have enough space to cover down to the start of the wheels with a Lg', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'This one fits my 2015 street glide special perfect, it will fit yours with plenty of room', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'There are better quality covers. Not to deter you away, but to answer your question, yes it will.', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}, {'text': 'I\'m not sure which size I bought, possible the medium and it just fits a 250 Rebel very snugly. When you go to this item you have to put in the year, make and model of your bike and they will tell you what size fits your bike. Unfortunately mine was not listed. The cover is good quality and so far has stood up to rain, extreme wind, ice and 24"" of snow. Hope this helps', 'helpful': 0, 'unhelpful': 0, 'total': 0, 'jeffreys': 0.5}]",If your windshield is LARGER than standard then yes but if its standard you should have enough space to cover down to the start of the wheels with a Lg,,,jeffreys,True,G_010
